Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
39055,"Berks County, Pennsylvania, dry wells",12/24/2016,12/18/2016,12/18/2016,"Precipitation last six days totaled 0.65 inch, a little short of normal for the period. Thus, no improvement in long-term drought conditions occurred. Yearly precipitation deficiency remains near 10 inches. Some wells in Berks County have gone dry recently, according to a press report, despite some catch-up rains the last three weeks. CoCoRaHS Report from Station #Reading 3.5 SW on 12/18/2016",Water Supply & Quality,"Berks County, PA",
38994,"Christmas tree grower in Lockwood, New York lost trees",12/13/2016,12/09/2016, ,"A Christmas tree grower in Lockwood stated that he lost about 75 percent of his new seedlings and many second-year trees during the summer, due to drought.  Buffalo News (N.Y.), Dec. 9, 2016","Agriculture, Plants & Wildlife","Tioga County, NY",
38968,"Drought hurt pasture growth, condition in Washington County, Virginia",12/09/2016,12/08/2016, ,"Drought led to poor hay and pasture growth and overgrazing in southwestern Virginia, leaving pastures in poor conditions and in need of fertilizing and reseeding before the spring.Southwest Virginia Today (Wytheville, Va.), Dec. 8, 2016","Agriculture, Plants & Wildlife","Washington County, VA",
38948,"Forage, pastures, stock ponds affected by drought in western South Dakota",12/05/2016,12/06/2016, ,"Reduced forage production and poor to good pasture conditions persisted in western South Dakota, due to months of above normal temperatures and below normal rainfall, reported hydrologist Melissa Smith of the National Weather Service.  Stock ponds and dugouts were low and limiting water supplies for livestock and other animals.  With the ground already frozen, drought could be locked in until spring.  Billings Gazette (Mont.), Dec. 5, 2016","Agriculture, Plants & Wildlife, Water Supply & Quality","Bennett County, SD, Butte County, SD, Corson County, SD, Custer County, SD, Dewey County, SD, Fall River County, SD, Haakon County, SD, Harding County, SD, Jackson County, SD, Jones County, SD, Lawrence County, SD, Meade County, SD, Mellette County, SD, Oglala Lakota County, SD, Pennington County, SD, Perkins County, SD, Stanley County, SD, Todd County, SD, Ziebach County, SD",
38947,New Hampshire legislators met about relief for dairy farmers,12/05/2016,12/05/2016, ,"New Hampshire legislators on the Dairy Farmers Task Force met on Dec. 5 for the fourth and possibly final meeting of the year on relief for struggling dairy farmers.  The Milk Producers Emergency Relief Fund, created in 2007, was meant to be a safety net for tough times, but was not funded.  The relief board recommended that the fund be kept between $2 million and $6 million.Concord Monitor (N.H.), Dec. 3, 2016","Agriculture, Relief, Response & Restrictions, Society & Public Health","New Hampshire, Belknap County, NH, Carroll County, NH, Cheshire County, NH, Coos County, NH, Grafton County, NH, Hillsborough County, NH, Merrimack County, NH, Rockingham County, NH, Strafford County, NH, Sullivan County, NH",
38973,"Water ban in Newport, New Hampshire put ice skating rink into question",12/09/2016,12/05/2016, ,"A water ban took effect in Newport on Dec. 5 because the town's water source, Gilman Pond, was about 35 inches low, said P.J. Lovely, Newport recreational director.  The new ban has town officials considering whether to have the ice skating rink during the annual winter carnival as they usually do.  WMUR-TV ABC 9 Manchester (N.H.), Dec. 8, 2016","Relief, Response & Restrictions, Society & Public Health, Tourism & Recreation, Water Supply & Quality","Sullivan County, NH, Newport, NH",
39014,"Macon County, North Carolina, burn ban, large firefighting efforts",12/17/2016,12/04/2016,12/04/2016,"Firefighters finally had a moment to breathe on Monday and Tuesday {28th and 29th} as we finally got a good soaking rain. Before Monday, some parts of the county hadn't seen more than half an inch of rain in more than 100 days. Since last Monday I've recorded 2.37""+. A burning ban, issued by the North Carolina Forest Service on November 7th, remains in effect until further notice for 47 counties in western and Piedmont regions of North Carolina. This ban extends to all private and public lands, including game lands. A countywide burn ban has been lifted for areas within 100 feet of an occupied dwelling. Fires in the Nantahala National Forest have burned 36,466 acres. Through November 26th, the total cost of firefighting in North Carolina's National Forests has been 27.7 million dollars. Visiting in Franklin this week, Governor McCrory noted that the fires alone cost the state approximately $30 million. By the time the damage from Hurricane Matthew reaches a final tally it could reach the $2 billion mark. ""Right now we have 80 counties under a state of emergency out of our 100 counties total. As a state we have never seen anything like these two events at the same time."" CoCoRaHS Report from Station #Franklin 3.4 ESE on 12/4/2016","Fire, Relief, Response & Restrictions","Macon County, NC",
39015,"Yancey County, North Carolina, birds and squirrels drinking a lot of water, fires in area",12/17/2016,12/04/2016,12/04/2016,"We got rain 1.30 inches of rain last week, but it is still very dry.  Gatlinburg is about two hours from here and watching it burn down so quickly and uncontrollably was frightening.  Our wild birds drink from the bird bath as much as they eat from the feeder.  The squirrels also drink from a water bowl on ground level.  It's raining as I type this with more rain on the way.  Hopefully this will help with the fires that still burn around us. CoCoRaHS Report from Station #Burnsville 4.6 N on 12/4/2016","Fire, Plants & Wildlife","Yancey County, NC",
38946,Crops in north central Oklahoma affected by drought,12/05/2016,12/04/2016, ,"The wheat crop in north central Oklahoma has been hurt by the developing drought.  Some reports have noted blue discoloration of leaves and tillers becoming chlorotic and dying.  Continued dry conditions will limit forage production for the rest of the year as crops go dormant with the advent of winter.  Some canola fields have displayed drought stress, but most of the crop looked alright.Enid News & Eagle (Okla.), Dec. 4, 2016","Agriculture, Plants & Wildlife","Garfield County, OK, Enid, OK, Grant County, OK, Medford, OK, Woodward, OK",
38923,Dry November stressing Oklahoma's wheat crop,12/02/2016,12/01/2016, ,"Oklahoma’s wheat crops were struggling from lack of moisture, said Dana Bay with the Woodward County OSU Extension Service Horticulture and Landscape.  In the last 30 days, the county and surrounding areas received less than half an inch of rain.  The state’s biggest agricultural commodity is wheat grown for forage, leaving cattle producers anxious about the developing drought.Muskogee Phoenix (Okla.), Dec. 1, 2016","Agriculture, Plants & Wildlife, Society & Public Health","Woodward County, OK",
38924,"Parched Gatlinburg, Tennessee overtaken by wind-driven flames",12/02/2016,11/28/2016, ,"The wildfire that consumed parts of Gatlinburg took 14 lives, affected more than 17,000 acres, and damaged or destroyed 1,684 structures.  The estimated cost of fighting the fire was $3,820,039, as of Dec. 5.  Knoxville News-Sentinel (Tenn.), Dec. 5, 2016About 14,000 people in the Gatlinburg area fled just ahead of the wind-whipped flames, which consumed hundreds of structures.  The dry fall left the Southeast parched and ready to burn, as evidenced by wildfires burning in the Great Smoky Mountains in past months.  A storm system moving through the region on the evening of Nov. 28 brought strong winds, which brought down trees and power lines and sparked new fires.  The Washington Post (D.C.), Nov. 29, 2016","Fire, Relief, Response & Restrictions, Society & Public Health","Sevier County, TN, Gatlinburg, TN",
39019,"Montgomery County, Pennsylvania, stressed gardens",12/17/2016,11/28/2016,11/28/2016,Our learning gardens have really shown the stress. CoCoRaHS Report from Station #Collegeville 3.0 NE on 11/28/2016,Plants & Wildlife,"Montgomery County, PA",
38902,Parts of eastern Pennsylvania headed toward drought emergency status,11/30/2016,11/28/2016, ,"As drought reduced the Little Lehigh Creek to puddles, officials were considering a drought emergency, which means mandatory water restrictions.  The level in the U.S. Geological Survey observation well in Upper Macungie Township had dropped to 80 feet below the surface for the first time since 2002, the Lehigh Valley’s last drought emergency.  The water level is typically between 60 and 70 feet at this time of year.  The Little Lehigh creek was flowing at about 40 cubic feet per second at the USGS surface water gauge in the Lehigh Parkway in Allentown.  The median value is about 70 cubic feet per second.  In Bethlehem, the Monocacy Creek was flowing at 12 cubic feet per second within the past week, nearly reaching a 50-year low and pointing toward emergency drought conditions.  The median flow is about 41 cubic feet per second.  Allentown Morning Call (Penn.), Nov. 28, 2016","Relief, Response & Restrictions, Water Supply & Quality","Lehigh County, PA, Allentown, PA, Macungie, PA, Northampton County, PA, Bethlehem, PA",
39020,"Madison County, North Carolina, stream down, pasture brown",12/17/2016,11/28/2016,11/28/2016,"Stream is down to trickle, pasture is brown straw. CoCoRaHS Report from Station #Marshall 4.8 SW on 11/28/2016","Agriculture, Water Supply & Quality","Madison County, NC",
39026,"Yancey County, North Carolina, wildfires burn around us, bad air quality",12/17/2016,11/27/2016,11/27/2016,"We had 0.06"" of rain this week.  The wildfires continue to burn around us.  The good news is that we have what might be a major rain event on the way.  The air quality has been very bad.  Sometimes the air is thick with smoke. CoCoRaHS Report from Station #Burnsville 4.6 N on 11/27/2016","Fire, Society & Public Health","Yancey County, NC",
39029,"Greene County, Tennessee, low ponds, burn ban",12/19/2016,11/27/2016,11/27/2016,"Ponds low, burning prohibited. CoCoRaHS Report from Station #Mosheim 7.5 WSW on 11/27/2016","Fire, Relief, Response & Restrictions, Water Supply & Quality","Greene County, TN",
39024,"Macon County, North Carolina, wildfires closing hiking trails, smoke harming livestock",12/17/2016,11/27/2016,11/27/2016,"As of Wednesday the 16th, nine wildfires in west North Carolina counties west of Asheville were being monitored by the Southern Area Coordination Center. Game lands managed by the North Carolina Wildlife Resources Commission have been closed. Wildfires have forced additional closures of trails, areas and roads in the Nantahala National Forest. Drought conditions are taking their toll on livestock, causing a shortage of hay and increased risk of bovine pulmonary edema and emphysema, or ABPE. Other causes of cattle mortality during drought can include plant toxicity, as the limited pasture may mean animals are more likely to eat plants, buckeyes and acorns that they normally wouldn't. Containment percentages have increased substantially over the past week. The drought though, has resulted in a steady fall of leaf litter that is still continuing. This provides a steady stream of fuel and has posed an ongoing risk to containment lines. A front is expected to come through the area Monday night the 20th through Wednesday, bringing 70-90% chance of showers. 30-40 mph winds on higher ridges possible. One to three inches possible by Wednesday. CoCoRaHS Report from Station #Franklin 3.4 ESE on 11/27/2016","Agriculture, Fire, Tourism & Recreation","Macon County, NC",
38901,"Local emergency, burn ban in Tazewell County, Virginia",11/30/2016,11/26/2016, ,"Tazewell County officials declared a local emergency and issued a burning ban for the county, due to ongoing drought and the absence of rain in the forecast.  Chief Mike Bennett of the Thompson Volunteer Fire Department noted that duff in the forest was extremely dry and thick, while autumn meant there were plenty of dry leaves on the ground, all increasing the fire danger.Bluefield Daily Telegraph (W. Va.), Nov. 26, 2016","Fire, Relief, Response & Restrictions","Tazewell County, VA",
39041,"Greene County, Tennessee, burn restrictions, farm pond lowering, air pollution",12/20/2016,11/26/2016,11/26/2016,"Burn restrictions, farm pond lowering, air pollution. CoCoRaHS Report from Station #Mosheim 7.5 WSW on 11/26/2016","Agriculture, Fire, Society & Public Health","Greene County, TN",
38904,"Special permit for Delaware River Basin Commission to protect water intakes in Pennsylvania, New Jersey",01/18/2017,11/25/2016,01/18/2017,"The Delaware River Basin Commission lifted its special drought management designation on Jan. 18 because flows in the Delaware River and its tributaries have increased, as has reservoir storage.  Groundwater levels, stream flows, precipitation, soil moisture and smaller reservoir storage have yet to show the same level of improvement.New Jersey Herald (Newton, N.J.), Jan. 19, 2017The Delaware River Basin Commission held a special meeting and issued “a special permit for coordinated operation of regional reservoirs.”  The permit will allow the agency to move quickly to keep the salt line, the interface between brackish saltwater in Delaware Bay and fresh river water, downstream from drinking water and industrial water intakes in Pennsylvania and New Jersey.  Norristown Times Herald (Pa.), Nov. 25, 2016","Relief, Response & Restrictions, Water Supply & Quality","Berks County, PA, Bucks County, PA, Carbon County, PA, Chester County, PA, Delaware County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Luzerne County, PA, Monroe County, PA, Montgomery County, PA, Northampton County, PA, Philadelphia County, PA, Pike County, PA, Schuylkill County, PA, Wayne County, PA",
39044,"Yancey County, North Carolina, springs and rivers drying up",12/20/2016,11/24/2016,11/24/2016,"We finally got 0.17"" of rain overnight but are still many inches short. Rivers are very low and springs are starting to dry up. This morning the smoke from the wildfires is the worst it's been. CoCoRaHS Report from Station #Burnsville 6.5 SSW on 11/24/2016","Fire, Water Supply & Quality","Yancey County, NC",
39043,"McNairy County, Tennessee, ponds and creeks dried up",12/20/2016,11/24/2016,11/24/2016,Ponds and creeks are getting very low or have totally dried up. CoCoRaHS Report from Station #Ramer 1.5 S on 11/24/2016,Water Supply & Quality,"McNairy County, TN",
39051,"Avery County, North Carolina, wildfires, smoke in air obscuring sun, reducing solar energy output",12/20/2016,11/23/2016,11/23/2016,"More wildfires in the area with more smoke making it difficult to be outside for long periods.  Creek levels still dropping, but so far none of the smaller creeks are dry. We are conserving water usage, although we do not see any issues from our well thus far. The thicker smoke has impacted our solar system with less energy being generated. CoCoRaHS Report from Station #Linville Falls 0.5 SW on 11/23/2016","Energy, Fire, Society & Public Health, Water Supply & Quality","Avery County, NC",
39046,"McDowell County, North Carolina, dry creeks and streams, poor air quality due to fires",12/20/2016,11/23/2016,11/23/2016,Small creeks and small streams are dry. Yard lost its luster. Fire conditions in the country have created unbreathable air conditions. CoCoRaHS Report from Station #Old Fort 4.5 S on 11/23/2016,"Fire, Plants & Wildlife, Society & Public Health, Water Supply & Quality","McDowell County, NC",
39048,"Yancey County, North Carolina, smoke in air, irritates eyes and breathing, low spring levels",12/20/2016,11/23/2016,11/23/2016,"Sky is obscured by wildfire smoke.  There are 10+ wildfires in western North Carolina, the closest being about 22 miles south of here.  This is the most since I moved here about 10 years ago.  Smoke is sufficient to irritate the eyes in most people and affect breathing in some folks nearby. A creek near my property is flowing a little low, but is flowing.  My landlord (three miles west of here) had two springs dry up but his well is still fine.   I have measured less than one inch of rain in October and no rain in November so far. CoCoRaHS Report from Station #Burnsville 7.0 W on 11/23/2016","Fire, Society & Public Health, Water Supply & Quality","Yancey County, NC",
39049,"Watauga County, North Carolina, ponds dry, wildfire nearby",12/20/2016,11/23/2016,11/23/2016,"Had two inches of rain on October 8th, no rain since them. Very dry, ponds have gone dry & 400 acre wildfire about four miles away. CoCoRaHS Report from Station #Blowing Rock 2.8 ENE on 11/23/2016","Fire, Water Supply & Quality","Watauga County, NC",
38903,Drought watch for Delaware River Basin in Pennsylvania,01/18/2017,11/23/2016,01/18/2017,"The Pennsylvania Department of Environmental Protection issued a drought watch for the entire Delaware River Basin as the lack of rain continued to take a toll on water supplies.  The DEP previously declared drought watches in 26 eastern Pennsylvania counties and drought warnings for six counties.  Rainfall has been 75 percent below normal in eastern Pennsylvania in the last 90 days.Norristown Times Herald (Pa.), Nov. 25, 2016","Relief, Response & Restrictions, Water Supply & Quality","Berks County, PA, Bucks County, PA, Carbon County, PA, Chester County, PA, Delaware County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Luzerne County, PA, Monroe County, PA, Montgomery County, PA, Northampton County, PA, Philadelphia County, PA, Pike County, PA, Schuylkill County, PA, Wayne County, PA",
38877,"Stokes County, North Carolina, selling livestock, dead pasture",11/25/2016,11/20/2016,11/20/2016,Have started selling off livestock no pasture left. CoCoRaHS Report from Station #Walnut Cove 1.5 ENE on 11/20/2016,Agriculture,"Stokes County, NC",
