Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53731,"Stage one drought restrictions in Corpus Christi, Texas",01/04/2021,12/28/2020, ,"Stage one drought restrictions took effect in Corpus Christi on Dec. 28 with the goal of reducing water use by at least 10 percent.  Lake Corpus Christi and Choke Canyon Reservoir were at 39.8 percent of capacity.  The restrictions will remain in effect until the lake and reservoir have a combined storage level of more than 50 percent.Corpus Christi Business News (Texas), Dec. 28, 2020","Relief, Response & Restrictions, Water Supply & Quality","Corpus Christi, TX",
53712,Updated water allocation of 5% for California's State Water Project,03/23/2021,12/01/2020,12/31/2021,"The California Department of Water Resources updated its initial water allocation for the 2021 water year to 5% of requested supplies, down from 10% as announced in December 2020.  The allocation will be finalized by May.  The State Water Project serves more than 27 million people and provides irrigation for about 750,000 acres of farmland, mostly in the San Joaquin Valley.YubaNet (Calif.), March 23, 2021The California Department of Water Resources announced the initial water allocation of 10 percent for the State Water Project.  While the initial allocation was low, the allocation last year was also 10 percent, but was increased to 20 percent in May 2020. Napa Valley Register (Calif.), Dec. 1 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
53701,"Water conservation requested in Decatur, Illinois",03/04/2021,11/30/2020,03/04/2021,"A request for voluntary water conservation in Decatur was in effect from Nov. 30, 2020 through March 4, 2021 until Lake Decatur refilled from 610.7 feet above mean sea level, or 65% of capacity, on Jan. 1 to 613.3 feet above mean sea level, or 89%, putting the water level above normal for winter.WAND-TV (Decatur, Ill.), March 4, 2021Officials in Decatur requested that residents “voluntarily reduce the amount of potable water they use until further notice.”  Rainfall has been below normal since mid-August, lowering the level of Lake Decatur by 1.3 feet below the normal winter level.  While the lake was dropping at a rate of 0.29 inches per day, it remained at 69 percent of capacity.WCIA/WCFN-TV CBS 3 Champaign (Ill.), Nov. 30, 2020","Relief, Response & Restrictions, Water Supply & Quality","Decatur, IL, Mount Zion, IL",
53699,Christmas tree seedlings lost to drought in New Hampshire,12/02/2020,11/23/2020, ,"A Christmas tree farm owner in Milford lost roughly 500 young trees to drought in 2020.  A tree grower in Litchfield also reported losing 500 seedlings.  In Boscawen, a tree farmer lost more than 100 young trees. Manchester Union Leader (N.H.), Nov. 23, 2020","Agriculture, Business & Industry","Hillsborough County, NH, Milford, NH, Merrimack County, NH, Boscawen, NH",
53697,Young Christmas trees perished in Connecticut,12/02/2020,11/20/2020, ,"A Christmas tree farm in South Windsor lost about 5,000 newly planted trees after a summer of drought and heat.  A Southington tree farm also lost a lot of trees.  NBC Connecticut (West Hartford), Nov. 20, 2020","Agriculture, Business & Industry","Hartford County, CT, Southington, CT",
53689,"Stage II of drought contingency plan in Victoria, Texas",02/01/2021,11/17/2020,01/13/2021,"Mandatory water restrictions were no longer in effect for Victoria, as of Jan. 13, but voluntary water conservation was still encouraged.  Stage II of the city’s drought contingency plan had been in effect since November 2020, but stage II and I restrictions were lifted as the flow of the Guadalupe River rose above its normal level for 14 consecutive days.  Crossroads Today (Victoria, Texas), Jan. 13, 2021The City of Victoria initiated Stage II of its drought contingency plan as the Guadalupe River fell below 150 cubic feet per second, requiring residents to conserve water.  In Stage II, Victoria may not pump water from the river under its 1998 surface water permit.The city entered Stage I in June when the Guadalupe River fell below its normal level.Crossroads Today (Victoria, Texas), Nov. 17, 2020","Relief, Response & Restrictions, Water Supply & Quality","Victoria, TX",
52678,"Voluntary water restrictions in Highland Falls, New York",11/12/2020,11/10/2020, ,"The mayor of Highland Falls called for voluntary water restrictions as water sources for the village were at 43 percent of capacity.  Mid-Hudson News (Newburgh, N.Y.), Nov. 10, 2020","Relief, Response & Restrictions, Water Supply & Quality","Highland Falls, NY",
51664,Christmas trees with yellow  needles in Rhode Island,11/06/2020,11/02/2020,12/25/2020,"Drought stress and tree damage from the summer led a Tiverton Christmas tree grower to cancel tree sales for the 2020 Christmas season.  Trees have yellow needles, which would worsen after cutting.  Some of the younger trees were a total loss.  With normal rainfall, the larger trees should recover.  Metro West Daily News (Mass.), Nov. 2, 2020","Agriculture, Business & Industry, Plants & Wildlife","Tiverton, RI",
51662,Historical finds in Lake Massabesic's shallow waters in southern New Hampshire,11/05/2020,10/31/2020, ,"The low level of Lake Massabesic revealed around 100 beer and whiskey bottles, knives and fishing equipment as drought lowered the water level by 58 inches.  Many of the antique bottles had manufacturer information printed on the glass.New Hampshire Union Leader (Manchester), Oct 31, 2020","Society & Public Health, Water Supply & Quality","Hillsborough County, NH, Manchester, NH",
53756,Augmentation pumping continuing for Carlsbad Irrigation District in New Mexico,02/02/2021,10/29/2020,12/31/2021,"Augmentation pumping continued in southeast New Mexico to supply the Carlsbad Irrigation District with water to the Brantley Reservoir.  The pumping was expected to continue through 2021 as drought took a turn for the worse in the state.The Interstate Stream Commission began pumping on Oct. 29, 2020 from the Seven Rivers well field near Brantley Lake and from the Lake Arthur wellfield into the Pecos River for transportation to the reservoir.If certain delivery goals are not met later in the year, the state would be required to continue pumping, hence the expectation of pumping through 2021. Carlsbad Current Argus (N.M.), Jan. 16, 2021","Relief, Response & Restrictions, Water Supply & Quality","Eddy County, NM, Carlsbad, NM",
