Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53734,"Well users to curb water use by 20 percent in Burnet County, Texas",01/05/2021,12/23/2020, ,"The Central Texas Groundwater Conservation District requested that Burnet County residents with wells to voluntarily curb their water use by 20 percent, due to drought.  The 20 percent usage reduction applies “to all Burnet County wells and all persons or organizations, public or private, owning or operating wells within Burnet County, regardless of purpose of use, size, capacity, date drilled, ownership, or the exempt or non-exempt status of the well.”The CTGCD board of directors determined the district to be in stage 3, or severe, drought on Dec. 18.  DailyTrib.com (Marble Falls, Texas), Dec. 23, 2020","Relief, Response & Restrictions, Water Supply & Quality","Burnet County, TX",
53729,Backcountry area closed in Guadalupe Mountains National Park in Texas,12/18/2020,12/20/2020,01/04/2021,"The backcountry area around Guadalupe Peak in Guadalupe Mountains National Park was closed from Dec. 20 through Jan. 4, due to continued drought.  Resource damage and illegal fire violations were occurring at backcountry sites, prompting park authorities to close the area to backcountry camping.  Fire restrictions took effect in the park on Nov. 18.National Parks Traveler (Park City, Utah), Dec. 18, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Culberson County, TX, Hudspeth County, TX",
53716,"Some fireworks prohibited in Travis County, Texas",12/17/2020,12/20/2020,01/01/2021,"Travis County Commissioners voted to prohibit the sale and use of skyrockets with sticks and missiles with fins outside of city limits from Dec. 20 until Jan. 1, due to drought.KVUE-TV ABC Austin (Texas), Dec. 10, 2020","Fire, Relief, Response & Restrictions","Travis County, TX",
53723,"Partial fireworks ban in Bexar County, Texas",12/18/2020,12/16/2020,01/14/2021,"The Bexar County Commissioners Court approved a ban on the sale and use of skyrockets with sticks and missiles with fins until Jan. 14.  The San Antonio area was in severe to extreme drought, increasing the fire danger.KSAT-TV ABC 12 San Antonio (Texas), Dec. 16, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Bexar County, TX",
53726,"90-day burn ban in Williamson County, Texas",12/18/2020,12/15/2020,03/15/2021,"The Williamson County Commissioners Court issued a countywide burn ban for the next 90 days, beginning Dec. 15.  The ban may be lifted if conditions improve. KEYE-TV We are Austin.com (Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions","Williamson County, TX",
53725,"Burn ban in Bexar County, Texas",12/18/2020,12/15/2020,01/21/2021,"Bexar County was under a burn ban through Jan. 21, due to drought and the absence of rain in the forecast. WOAI NBC 4 San Antonio (Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions","Bexar County, TX",
53724,"Ban on certain fireworks in Starr County, Texas",12/18/2020,12/14/2020, ,"Starr County Commissioners issued an order prohibiting the sale and use of skyrockets with sticks and missiles with fins in unincorporated parts of the county.KGBT-TV 4 Valley Central.com (Harlingen, Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Starr County, TX",
53706,"Oat, wheat fields not yet emerged in Southwest Texas",12/03/2020,12/01/2020, ,"Some oat and wheat fields in Southwest Texas have not yet emerged, but recent rainfall may help with small grains and improve pastures and rangeland.  Livestock were supplemented heavily.AgriLife Today (College Station, Texas), Dec. 1, 2020","Agriculture, Plants & Wildlife","Bandera County, TX, Bastrop County, TX, Bexar County, TX, Blanco County, TX, Caldwell County, TX, Comal County, TX, Edwards County, TX, Gillespie County, TX, Gonzales County, TX, Guadalupe County, TX, Hays County, TX, Kendall County, TX, Kerr County, TX, Kimble County, TX, Kinney County, TX, Medina County, TX, Real County, TX, Sutton County, TX, Travis County, TX, Uvalde County, TX, Wilson County, TX",
53712,Updated water allocation of 5% for California's State Water Project,03/23/2021,12/01/2020,12/31/2021,"The California Department of Water Resources updated its initial water allocation for the 2021 water year to 5% of requested supplies, down from 10% as announced in December 2020.  The allocation will be finalized by May.  The State Water Project serves more than 27 million people and provides irrigation for about 750,000 acres of farmland, mostly in the San Joaquin Valley.YubaNet (Calif.), March 23, 2021The California Department of Water Resources announced the initial water allocation of 10 percent for the State Water Project.  While the initial allocation was low, the allocation last year was also 10 percent, but was increased to 20 percent in May 2020. Napa Valley Register (Calif.), Dec. 1 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
53703,"Dryland wheat suffering, very poor pasture in Texas Panhandle",12/03/2020,12/01/2020, ,"Early-planted dryland wheat in the Texas Panhandle was starting to suffer from lack of moisture, although the irrigated looked good and was being grazed.  Pasture and rangeland conditions were poor to good with reports of very poor conditions in the northwest part of the district.AgriLife Today (College Station, Texas), Dec. 1, 2020","Agriculture, Plants & Wildlife","Armstrong County, TX, Briscoe County, TX, Carson County, TX, Collingsworth County, TX, Dallam County, TX, Deaf Smith County, TX, Donley County, TX, Gray County, TX, Hall County, TX, Hansford County, TX, Hartley County, TX, Hemphill County, TX, Hutchinson County, TX, Lipscomb County, TX, Moore County, TX, Ochiltree County, TX, Oldham County, TX, Potter County, TX, Randall County, TX, Roberts County, TX, Sherman County, TX, Wheeler County, TX",
