Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places
39009,New website to assist with Alabama drought preparedness,12/16/16,12/16/16, ,"The Alabama Cooperative Extension developed the AlabamaDrought.com website to help the public cope with the current drought.  The site has comprehensive resources to offer potential solutions for farmers, producers and homeowners.  TimesDaily.com (Florence, Ala.), Dec. 16, 2016","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality","Alabama, Autauga County, AL, Baldwin County, AL, Barbour County, AL, Bibb County, AL, Blount County, AL, Bullock County, AL, Butler County, AL, Calhoun County, AL, Chambers County, AL, Cherokee County, AL, Chilton County, AL, Choctaw County, AL, Clarke County, AL, Clay County, AL, Cleburne County, AL, Coffee County, AL, Colbert County, AL, Conecuh County, AL, Coosa County, AL, Covington County, AL, Crenshaw County, AL, Cullman County, AL, Dale County, AL, Dallas County, AL, DeKalb County, AL, Elmore County, AL, Escambia County, AL, Etowah County, AL, Fayette County, AL, Franklin County, AL, Geneva County, AL, Greene County, AL, Hale County, AL, Henry County, AL, Houston County, AL, Jackson County, AL, Jefferson County, AL, Lamar County, AL, Lauderdale County, AL, Lawrence County, AL, Lee County, AL, Limestone County, AL, Lowndes County, AL, Macon County, AL, Madison County, AL, Marengo County, AL, Marion County, AL, Marshall County, AL, Mobile County, AL, Monroe County, AL, Montgomery County, AL, Morgan County, AL, Perry County, AL, Pickens County, AL, Pike County, AL, Randolph County, AL, Russell County, AL, Saint Clair County, AL, Shelby County, AL, Sumter County, AL, Talladega County, AL, Tallapoosa County, AL, Tuscaloosa County, AL, Walker County, AL, Washington County, AL, Wilcox County, AL, Winston County, AL"
39004,Maine Drought Task Force met,12/14/16,12/16/16, ,"The Maine Drought Task Force will meet in Augusta on Dec. 16 and decide how to proceed during the winter.  The U.S. Geological Survey found surface water gauges to be in the normal range, but groundwater would take longer to recover with much of the state ranging from abnormally dry to severe drought.Biddeford Journal Tribune (Maine), Dec. 9, 2016","Society & Public Health, Water Supply & Quality","Maine, Androscoggin County, ME, Aroostook County, ME, Cumberland County, ME, Franklin County, ME, Hancock County, ME, Kennebec County, ME, Augusta, ME, Knox County, ME, Lincoln County, ME, Oxford County, ME, Penobscot County, ME, Piscataquis County, ME, Sagadahoc County, ME, Somerset County, ME, Waldo County, ME, Washington County, ME, York County, ME"
39008,Water conservation encouraged in Massachusetts as drought persisted,12/15/16,12/14/16, ,"Massachusetts officials have renewed calls for water conservation as the region’s worst drought in decades persisted.  Residents were encouraged by the Energy and Environmental Affairs Secretary Matthew Beaton to limit water use, fix indoor leaks and conduct water audits.  Although reservoir levels were recovering during a natural recharge period, most reservoirs were still below normal ranges.Boston Globe and Boston.com (Mass.), Dec. 14, 2016","Relief, Response & Restrictions, Water Supply & Quality","Massachusetts, Barnstable County, MA, Berkshire County, MA, Bristol County, MA, Dukes County, MA, Essex County, MA, Franklin County, MA, Hampden County, MA, Hampshire County, MA, Middlesex County, MA, Nantucket County, MA, Norfolk County, MA, Plymouth County, MA, Suffolk County, MA, Boston, MA, Worcester County, MA"
38970,Maine State Housing Authority received more funds for those with dry wells,12/9/16,12/9/16, ,"The Maine State Housing Authority received $200,000 in emergency funding to aid low-income residents with dry wells drill new ones, said Bruce Fitzgerald, director of the Maine Emergency Management Agency.  During the summer, the agency received $250,000 for the same purpose, and it was “gone in a flash.”In the past two weeks, MEMA heard of just two wells running dry, in comparison with hundreds of dry wells during the summer and early fall.Poland Spring, the Good Shepherd Food Bank and American Red Cross were coordinating to provide bottled water to people with dry wells.  Central Maine (Augusta, Maine), Dec. 9, 2016","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality","Maine, Androscoggin County, ME, Aroostook County, ME, Cumberland County, ME, Franklin County, ME, Hancock County, ME, Kennebec County, ME, Knox County, ME, Lincoln County, ME, Oxford County, ME, Penobscot County, ME, Piscataquis County, ME, Sagadahoc County, ME, Somerset County, ME, Waldo County, ME, Washington County, ME, York County, ME"
38927,New water conservation plan in California,12/2/16,12/1/16, ,"California state water officials worked on a new conservation plan featuring the creation of customized water-use limits for urban water districts and a focus on fixing leaks, which can drain more than 10 percent of processed water.   Towns and cities will also be required to create five-year drought contingency plans rather than three-year plans.  Critics complain that the agricultural sector was not asked to conserve.The Sacramento Bee (Calif.), Dec. 1, 2016","Relief, Response & Restrictions, Water Supply & Quality","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Imperial County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Los Angeles County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Orange County, CA, Placer County, CA, Plumas County, CA, Riverside County, CA, Sacramento County, CA, San Benito County, CA, San Bernardino County, CA, San Diego County, CA, San Francisco County, CA, San Joaquin County, CA, San Luis Obispo County, CA, San Mateo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Ventura County, CA, Yolo County, CA, Yuba County, CA"
38905,"Drought stunted tree growth, killed seedlings in Massachusetts",12/1/16,11/26/16, ,"The drought and a limited supply of 7-foot to 8-foot tall trees led a tree farmer in Charlton not to open for tree sales during the Christmas season.  He announced his plans in a Nov. 22 Facebook post.  Numerous other Massachusetts tree farmers noticed drought impacts among their trees and seedlings.  Tree growth was stunted by the dry summer, and many seedlings were lost.Milford Daily News (Mass.), Nov. 26, 2016","Agriculture, Business & Industry, Plants & Wildlife","Massachusetts, Barnstable County, MA, Berkshire County, MA, Bristol County, MA, Dukes County, MA, Essex County, MA, Franklin County, MA, Hampden County, MA, Hampshire County, MA, Middlesex County, MA, Nantucket County, MA, Norfolk County, MA, Plymouth County, MA, Suffolk County, MA, Worcester County, MA"
38827,"Level I, II Drought Response in Georgia",3/3/17,11/17/16,3/3/17,"Winter rains led the Georgia Environmental Protection Division to ease drought-related water limits and restrictions in 86 counties.  Twelve counties, including those in the Atlanta area, still remained in Level 2 drought response.CBS 46 Atlanta (Ga.), March 3, 2017Gov. Nathan Deal declared 52 counties in northern Georgia to be in Level II Drought Response and, along with the Environmental Protection Division, saw 58 counties in the southern part of the state to be in Level I Drought Response.  ""During this prolonged period of severe drought in Georgia, we are bolstering the state’s drought response in more than 100 counties,"" said Gov. Deal. ""I would like to remind Georgians that there are specific guidelines and prohibitions to follow during a Level I and Level II Drought Response.""WALB-TV NBC 10 Albany (Ga.), Nov. 17, 2016","Relief, Response & Restrictions, Water Supply & Quality","Georgia, Appling County, GA, Atkinson County, GA, Bacon County, GA, Baker County, GA, Baldwin County, GA, Banks County, GA, Barrow County, GA, Bartow County, GA, Ben Hill County, GA, Berrien County, GA, Bibb County, GA, Bleckley County, GA, Brantley County, GA, Brooks County, GA, Bryan County, GA, Bulloch County, GA, Burke County, GA, Butts County, GA, Calhoun County, GA, Camden County, GA, Candler County, GA, Carroll County, GA, Catoosa County, GA, Charlton County, GA, Chatham County, GA, Chattahoochee County, GA, Chattooga County, GA, Cherokee County, GA, Clarke County, GA, Clay County, GA, Clayton County, GA, Clinch County, GA, Cobb County, GA, Coffee County, GA, Colquitt County, GA, Columbia County, GA, Cook County, GA, Coweta County, GA, Crawford County, GA, Crisp County, GA, Dade County, GA, Dawson County, GA, Decatur County, GA, DeKalb County, GA, Dodge County, GA, Dooly County, GA, Dougherty County, GA, Douglas County, GA, Early County, GA, Echols County, GA, Effingham County, GA, Elbert County, GA, Emanuel County, GA, Evans County, GA, Fannin County, GA, Fayette County, GA, Floyd County, GA, Forsyth County, GA, Franklin County, GA, Fulton County, GA, Gilmer County, GA, Glascock County, GA, Glynn County, GA, Gordon County, GA, Grady County, GA, Greene County, GA, Gwinnett County, GA, Habersham County, GA, Hall County, GA, Hancock County, GA, Haralson County, GA, Harris County, GA, Hart County, GA, Heard County, GA, Henry County, GA, Houston County, GA, Irwin County, GA, Jackson County, GA, Jasper County, GA, Jeff Davis County, GA, Jefferson County, GA, Jenkins County, GA, Johnson County, GA, Jones County, GA, Lamar County, GA, Lanier County, GA, Laurens County, GA, Lee County, GA, Liberty County, GA, Lincoln County, GA, Long County, GA, Lowndes County, GA, Lumpkin County, GA, Macon County, GA, Madison County, GA, Marion County, GA, McDuffie County, GA, McIntosh County, GA, Meriwether County, GA, Miller County, GA, Mitchell County, GA, Monroe County, GA, Montgomery County, GA, Morgan County, GA, Murray County, GA, Muscogee County, GA, Newton County, GA, Oconee County, GA, Oglethorpe County, GA, Paulding County, GA, Peach County, GA, Pickens County, GA, Pierce County, GA, Pike County, GA, Polk County, GA, Pulaski County, GA, Putnam County, GA, Quitman County, GA, Rabun County, GA, Randolph County, GA, Richmond County, GA, Rockdale County, GA, Schley County, GA, Screven County, GA, Seminole County, GA, Spalding County, GA, Stephens County, GA, Stewart County, GA, Sumter County, GA, Talbot County, GA, Taliaferro County, GA, Tattnall County, GA, Taylor County, GA, Telfair County, GA, Terrell County, GA, Thomas County, GA, Tift County, GA, Toombs County, GA, Towns County, GA, Treutlen County, GA, Troup County, GA, Turner County, GA, Twiggs County, GA, Union County, GA, Upson County, GA, Walker County, GA, Walton County, GA, Ware County, GA, Warren County, GA, Washington County, GA, Wayne County, GA, Webster County, GA, Wheeler County, GA, White County, GA, Whitfield County, GA, Wilcox County, GA, Wilkes County, GA, Wilkinson County, GA, Worth County, GA"
38793,Most of Alabama in drought emergency status,11/16/16,11/15/16, ,"Twelve additional Alabama counties entered drought emergency status as drought diminished water supplies in Choctaw, Clarke, Dallas, Marengo, Monroe, Washington, Wilcox, Butler, Conecuh, Covington, Crenshaw and Escambia counties in the southwestern part of the state.  The Alabama Department of Economic and Community Affairs’ Office of Water Resources made the decision on Nov. 15.  As of mid-November, most of Alabama was in emergency drought status.Region 9, encompassing Mobile and Baldwin counties in coastal Alabama, moved to Drought Warning Status, joining Region 8 in the southeastern corner of the state.  TimesDaily.com (Florence, Ala.), Nov. 15, 2016","Relief, Response & Restrictions, Water Supply & Quality","Alabama, Autauga County, AL, Baldwin County, AL, Barbour County, AL, Bibb County, AL, Blount County, AL, Bullock County, AL, Butler County, AL, Calhoun County, AL, Chambers County, AL, Cherokee County, AL, Chilton County, AL, Choctaw County, AL, Clarke County, AL, Clay County, AL, Cleburne County, AL, Coffee County, AL, Colbert County, AL, Conecuh County, AL, Coosa County, AL, Covington County, AL, Crenshaw County, AL, Cullman County, AL, Dale County, AL, Dallas County, AL, DeKalb County, AL, Elmore County, AL, Escambia County, AL, Etowah County, AL, Fayette County, AL, Franklin County, AL, Geneva County, AL, Greene County, AL, Hale County, AL, Henry County, AL, Houston County, AL, Jackson County, AL, Jefferson County, AL, Lamar County, AL, Lauderdale County, AL, Lawrence County, AL, Lee County, AL, Limestone County, AL, Lowndes County, AL, Macon County, AL, Madison County, AL, Marengo County, AL, Marion County, AL, Marshall County, AL, Mobile County, AL, Monroe County, AL, Montgomery County, AL, Morgan County, AL, Perry County, AL, Pickens County, AL, Pike County, AL, Randolph County, AL, Russell County, AL, Saint Clair County, AL, Shelby County, AL, Sumter County, AL, Talladega County, AL, Tallapoosa County, AL, Tuscaloosa County, AL, Walker County, AL, Washington County, AL, Wilcox County, AL, Winston County, AL"
38669,Level I drought declaration for most of Kentucky,11/10/16,11/10/16, ,"A Level I drought declaration was made for 117 counties in Kentucky, as determined by the Office of the State Climatologist and the Kentucky Energy and Environment Cabinet, in coordination with the Kentucky Drought Mitigation Team.  A Level I drought means moderate to severe drought conditions have developed, mainly affecting soil moisture and vegetative health. More wildfires and adverse impacts to agricultural water needs and public water supplies were likely if drought conditions persist.Many wildfires had charred more than 29,000 acres in the eastern half of the state, in addition to a few fires in the west.  Six Blackhawk helicopters from the Kentucky National Guard had dropped 306,000 gallons of water to fight the fires, and new fires continued to pop up.  On Nov. 9, 27 fires were burning.  More than 60 counties had adopted burn bans.Some cattle producers were feeding hay early because pastures were not growing.  Wet weather in the spring and summer reduced hay quantity and quality, leaving little good hay to be found.Winter cover crops were struggling to germinate amid the parched soil, raising the prospect of soil erosion during the winter.  The Lane Report (Lexington, Ky.), Nov. 10, 2016","Agriculture, Fire, Plants & Wildlife, Relief, Response & Restrictions","Kentucky, Adair County, KY, Allen County, KY, Anderson County, KY, Ballard County, KY, Barren County, KY, Bath County, KY, Bell County, KY, Bourbon County, KY, Boyd County, KY, Boyle County, KY, Bracken County, KY, Breathitt County, KY, Breckinridge County, KY, Bullitt County, KY, Butler County, KY, Caldwell County, KY, Calloway County, KY, Carlisle County, KY, Carroll County, KY, Carter County, KY, Casey County, KY, Christian County, KY, Clark County, KY, Clay County, KY, Clinton County, KY, Crittenden County, KY, Cumberland County, KY, Daviess County, KY, Edmonson County, KY, Elliott County, KY, Estill County, KY, Fayette County, KY, Fleming County, KY, Floyd County, KY, Franklin County, KY, Fulton County, KY, Gallatin County, KY, Garrard County, KY, Grant County, KY, Graves County, KY, Grayson County, KY, Green County, KY, Greenup County, KY, Hancock County, KY, Hardin County, KY, Harlan County, KY, Harrison County, KY, Hart County, KY, Henderson County, KY, Henry County, KY, Hickman County, KY, Hopkins County, KY, Jackson County, KY, Jefferson County, KY, Jessamine County, KY, Johnson County, KY, Knott County, KY, Knox County, KY, Larue County, KY, Laurel County, KY, Lawrence County, KY, Lee County, KY, Leslie County, KY, Letcher County, KY, Lewis County, KY, Lincoln County, KY, Livingston County, KY, Logan County, KY, Lyon County, KY, Madison County, KY, Magoffin County, KY, Marion County, KY, Marshall County, KY, Martin County, KY, Mason County, KY, McCracken County, KY, McCreary County, KY, McLean County, KY, Meade County, KY, Menifee County, KY, Mercer County, KY, Metcalfe County, KY, Monroe County, KY, Montgomery County, KY, Morgan County, KY, Muhlenberg County, KY, Nelson County, KY, Nicholas County, KY, Ohio County, KY, Oldham County, KY, Owen County, KY, Owsley County, KY, Pendleton County, KY, Perry County, KY, Pike County, KY, Powell County, KY, Pulaski County, KY, Robertson County, KY, Rockcastle County, KY, Rowan County, KY, Russell County, KY, Scott County, KY, Shelby County, KY, Simpson County, KY, Spencer County, KY, Taylor County, KY, Todd County, KY, Trigg County, KY, Trimble County, KY, Union County, KY, Warren County, KY, Washington County, KY, Wayne County, KY, Webster County, KY, Whitley County, KY, Wolfe County, KY, Woodford County, KY"
38971,"Drought warning, advisory continued for Massachusetts",12/9/16,11/9/16,12/9/16,"Massachusetts’ Energy and Environmental Affairs Secretary Matthew Beaton declared the Connecticut River Valley, Western, Central, Northeast, and Southeast Massachusetts to remain in a Drought Warning and the Cape and Islands to stay in a Drought Advisory, as was the case in November when the Massachusetts Drought Management Task Force met.  Mass.gov Energy and Environmental Affairs (Boston), Dec. 9, 2016","Relief, Response & Restrictions, Water Supply & Quality","Massachusetts, Barnstable County, MA, Berkshire County, MA, Bristol County, MA, Dukes County, MA, Essex County, MA, Franklin County, MA, Hampden County, MA, Hampshire County, MA, Middlesex County, MA, Nantucket County, MA, Norfolk County, MA, Plymouth County, MA, Suffolk County, MA, Worcester County, MA"
