Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53732,Colorado's Rio Blanco Water Conservancy District preparing for continued drought,01/04/2021,12/26/2020, ,"Colorado Gov. Jared Polis sent a memorandum of drought emergency to executive directors of state government departments, prompting water suppliers to prepare for more drought in 2021.  The district manager for the Rio Blanco Water Conservancy District noted that there was no drought contingency within the White River basin, meaning that storage in the basin was enough for a couple days’ supply.  There is a proposal, however, to construct the Wolf Creek Reservoir, which would hold 66,000 to 73,000 acre-feet of water, but state engineers contested that Rio Blanco failed to identify the need for that much water.Rio Blanco Herald Times (Colo.), Dec. 26, 2020","Relief, Response & Restrictions, Water Supply & Quality","Rio Blanco County, CO",
53734,"Well users to curb water use by 20 percent in Burnet County, Texas",01/05/2021,12/23/2020, ,"The Central Texas Groundwater Conservation District requested that Burnet County residents with wells to voluntarily curb their water use by 20 percent, due to drought.  The 20 percent usage reduction applies “to all Burnet County wells and all persons or organizations, public or private, owning or operating wells within Burnet County, regardless of purpose of use, size, capacity, date drilled, ownership, or the exempt or non-exempt status of the well.”The CTGCD board of directors determined the district to be in stage 3, or severe, drought on Dec. 18.  DailyTrib.com (Marble Falls, Texas), Dec. 23, 2020","Relief, Response & Restrictions, Water Supply & Quality","Burnet County, TX",
53735,Animals remaining near drainages in Southwest Colorado,01/22/2021,12/22/2020, ,"The lack of water in southwest Colorado forced many animals, such as blue grouse, to remain near drainages and at lower elevations than is typical for them late in the season.Longtime ranchers have noted reliably perennial streams and other water sources have gone dry this year that have never gone dry before.The Durango Herald (Colo.), Dec. 22, 2020","Plants & Wildlife, Water Supply & Quality","La Plata County, CO",
53729,Backcountry area closed in Guadalupe Mountains National Park in Texas,12/18/2020,12/20/2020,01/04/2021,"The backcountry area around Guadalupe Peak in Guadalupe Mountains National Park was closed from Dec. 20 through Jan. 4, due to continued drought.  Resource damage and illegal fire violations were occurring at backcountry sites, prompting park authorities to close the area to backcountry camping.  Fire restrictions took effect in the park on Nov. 18.National Parks Traveler (Park City, Utah), Dec. 18, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Culberson County, TX, Hudspeth County, TX",
53716,"Some fireworks prohibited in Travis County, Texas",12/17/2020,12/20/2020,01/01/2021,"Travis County Commissioners voted to prohibit the sale and use of skyrockets with sticks and missiles with fins outside of city limits from Dec. 20 until Jan. 1, due to drought.KVUE-TV ABC Austin (Texas), Dec. 10, 2020","Fire, Relief, Response & Restrictions","Travis County, TX",
53723,"Partial fireworks ban in Bexar County, Texas",12/18/2020,12/16/2020,01/14/2021,"The Bexar County Commissioners Court approved a ban on the sale and use of skyrockets with sticks and missiles with fins until Jan. 14.  The San Antonio area was in severe to extreme drought, increasing the fire danger.KSAT-TV ABC 12 San Antonio (Texas), Dec. 16, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Bexar County, TX",
53726,"90-day burn ban in Williamson County, Texas",12/18/2020,12/15/2020,03/15/2021,"The Williamson County Commissioners Court issued a countywide burn ban for the next 90 days, beginning Dec. 15.  The ban may be lifted if conditions improve. KEYE-TV We are Austin.com (Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions","Williamson County, TX",
53727,Drought status easing in Connecticut,12/18/2020,12/15/2020, ,"The Connecticut drought workgroup voted to improve the drought status of six of the state’s eight counties, putting them all, except New London County, in the first stage, or below normal conditions.  New London County was in the second stage.WTNH-TV ABC 8 New Haven (Ct.), Dec. 15, 2020","Relief, Response & Restrictions, Water Supply & Quality","Connecticut, New Haven County, CT",
53725,"Burn ban in Bexar County, Texas",12/18/2020,12/15/2020,01/21/2021,"Bexar County was under a burn ban through Jan. 21, due to drought and the absence of rain in the forecast. WOAI NBC 4 San Antonio (Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions","Bexar County, TX",
53724,"Ban on certain fireworks in Starr County, Texas",12/18/2020,12/14/2020, ,"Starr County Commissioners issued an order prohibiting the sale and use of skyrockets with sticks and missiles with fins in unincorporated parts of the county.KGBT-TV 4 Valley Central.com (Harlingen, Texas), Dec. 15, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","Starr County, TX",
