Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53728,Maine Drought Task Force closed,12/18/2020,12/17/2020, ,"The Maine Drought Task Force met on Dec. 17 to review drought conditions.  With drought easing across the state, the Task Force opted to close and reconvene in the spring of 2021 if conditions warrant. PenBayPilot (Camden, Maine), Dec. 17, 2020","Relief, Response & Restrictions, Water Supply & Quality",Maine,
53727,Drought status easing in Connecticut,12/18/2020,12/15/2020, ,"The Connecticut drought workgroup voted to improve the drought status of six of the state’s eight counties, putting them all, except New London County, in the first stage, or below normal conditions.  New London County was in the second stage.WTNH-TV ABC 8 New Haven (Ct.), Dec. 15, 2020","Relief, Response & Restrictions, Water Supply & Quality","Connecticut, New Haven County, CT",
53713,Outdoor water bans remain in New Hampshire,12/16/2020,12/10/2020, ,"Precipitation eased drought in New Hampshire, but several dozen public water utilities and some communities around the state continued to have outdoor water bans due to concern about the water table.Concord Monitor (N.H.), Dec. 10, 2020","Relief, Response & Restrictions, Water Supply & Quality","New Hampshire, Merrimack County, NH, Rockingham County, NH",
53721,Hay quality and supplies discussed at talk hosted by University of Maine’s Department of Agriculture,12/18/2020,12/09/2020, ,"Hay quality in Maine has been affected by drought, leading farmers to seek new strategies to protect hay condition.  Various agricultural insurance policies and strategies for securing reliable hay were discussed during a virtual talk hosted by the University of Maine’s Department of Agriculture.  The Maine Campus (Orono, Maine), Dec. 14, 2020","Agriculture, Plants & Wildlife, Relief, Response & Restrictions",Maine,
53718,Municipal portion of Colorado's drought plan activated,12/17/2020,12/01/2020, ,"Colorado shifted from Phase 2 to Phase 3 (full activation) of its State Drought Mitigation and Response Plan at Gov. Polis’ direction.   The Municipal Water Impact Task Force will convene and coordinate with water providers to prepare for potential water challenges in 2021.Colorado Water Conservation Board (Denver), Dec. 1, 2020Colorado activated the municipal portion of its emergency drought plan for the second time ever.  The agricultural portion of the plan was activated during the summer, requiring government agencies serving farmers and ranchers to start coordinating aid efforts.  Officials from several cities feared that the drought was severe enough to warrant hasty preparations for short supplies in 2021.  Given the parched soil, runoff is expected to be lean as the soil absorbs the moisture.The Colorado Sun (Denver), Dec. 10, 2020","Relief, Response & Restrictions, Water Supply & Quality",Colorado,
53720,New Mexico officials discussed ongoing drought,12/17/2020,12/01/2020, ,"New Mexico state and local officials met virtually to discuss the ongoing drought and water shortages occurring and expected to continue into the next year.  To meet the required allotment for the Carlsbad Irrigation District, state regulators continued to use augmentation pumps to make up the shortfall.Current (N.M.), Dec. 3, 2020","Relief, Response & Restrictions, Water Supply & Quality","New Mexico, Eddy County, NM",
52690,Christmas tree seedlings succumbed to drought in Rhode Island,11/20/2020,11/18/2020, ,"Drought took a toll on Rhode Island’s Christmas trees.  A West Greenwich tree grower reported that he lost 90 percent of the 10,000 seedlings planted this spring.  A tree farm in South Kingstown also lost seedlings.  Some trees were losing more than 50 percent of their needles.ecoRI news (Providence, R.I.), Nov. 18, 2020","Agriculture, Plants & Wildlife",Rhode Island,
51671,Drought status in Massachusetts,01/12/2021,11/09/2020,01/12/2021,"Drought has ended in Massachusetts, according to the state office of Energy and Environmental Affairs.  All regions of the Bay State were again in normal conditions, consequently, the Drought Management Task Force will no longer meet weekly.  Cape Cod (Hyannis, Mass.), Jan. 12, 2021As drought conditions improved in Massachusetts, the State Energy and Environmental Affairs secretary announced that southeastern Massachusetts went from a Level 3 “Critical Drought” to a Level 2 “Significant Drought.”  Cape Cod remained at Level 2, and conditions elsewhere were improved to a Level 1 “Mild Drought,” except for the Nashua River basin, which was at Level 2.Greenwich Time (Conn.), Nov 9, 2020","Fire, Relief, Response & Restrictions, Water Supply & Quality","Massachusetts, Barnstable County, MA, Berkshire County, MA, Bristol County, MA, Dukes County, MA, Essex County, MA, Franklin County, MA, Hampden County, MA, Hampshire County, MA, Middlesex County, MA, Nantucket County, MA, Norfolk County, MA, Plymouth County, MA, Suffolk County, MA, Worcester County, MA",
51672,"More than 1,000 drought-affected wells in New Hampshire",11/11/2020,11/06/2020, ,"More than 1,000 residential wells in New Hampshire were affected by drought, according to a phone survey conducted by the state Department of Environmental Services.  Many in the well drilling and pump industry reported backlogs of several weeks as people cope with low and dry wells.St. Johnsbury Caledonian-Record (Vt.), Nov. 6, 2020","Business & Industry, Society & Public Health, Water Supply & Quality",New Hampshire,
51657,Fire season extended in Utah,11/05/2020,11/01/2020,11/30/2020,"The Utah Department of Natural Resources extended the state's fire season to Nov. 30, continuing the ban on open burning on unincorporated state and private land.  Lack of precipitation, warmer than usual weather and dry fuel conditions throughout Utah were reasons for the extended fire season.  St. George News (Utah), Oct. 25, 2020","Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
