Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53712,Updated water allocation of 5% for California's State Water Project,03/23/2021,12/01/2020,12/31/2021,"The California Department of Water Resources updated its initial water allocation for the 2021 water year to 5% of requested supplies, down from 10% as announced in December 2020.  The allocation will be finalized by May.  The State Water Project serves more than 27 million people and provides irrigation for about 750,000 acres of farmland, mostly in the San Joaquin Valley.YubaNet (Calif.), March 23, 2021The California Department of Water Resources announced the initial water allocation of 10 percent for the State Water Project.  While the initial allocation was low, the allocation last year was also 10 percent, but was increased to 20 percent in May 2020. Napa Valley Register (Calif.), Dec. 1 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
51648,"Phase II water emergency in St. Helena, California",03/24/2021,10/27/2020,03/24/2021,"New penalties will be imposed on St. Helena water customers who exceed their rations beginning May 1 as the Phase II water emergency continued.  The penalties must be approved at an upcoming April 13 council meeting. The city allocates 65 gallons per person daily, plus 2,500 gallons per month for outdoor use.  St. Helena’s Bell Canyon Reservoir is at 42% of capacity.Napa Valley Register (Calif.), March 24, 2021The Phase II water emergency remained in effect for St. Helena.  Bell Canyon Reservoir had an elevation of 400.11 feet, or about 40% of capacity.  Napa Valley Register (Calif.), March 10, 2021Drought and increased water demand for firefighting led St. Helena authorities to declare a Phase II water emergency and order mandatory rationing.  Bell Canyon Reservoir was at 38.8 percent of capacity after a year of meager rainfall yielding just 20 inches.  An unknown amount of water was also used to fight the LNU Lightning Complex and Glass fires.Napa Valley Register (Calif.), Oct 28, 2020","Relief, Response & Restrictions, Water Supply & Quality","Napa County, CA, Saint Helena, CA",
51415,"Drought, heat affected grape growth in Napa County, California",09/02/2020,08/25/2020, ,"A grape grower in Carneros reported vines struggling, due to dry soils, and reduced yields.  Chardonnay yields were down over 50 percent and Pinot Noir grapes were at least 15 percent below average.  Napa Valley Register (Calif.), Aug. 25, 2020",Agriculture,"Napa County, CA, Carneros (historical), CA",
51248,"Water shortage emergency in Inverness, California",07/30/2020,07/22/2020, ,"A water shortage emergency was declared in Inverness as dry weather depleted water supplies.  Point Reyes Light (Point Reyes Station, Calif.), July 29, 2020The Inverness Public Utility planned to declare a water shortage emergency on July 22, due to historic low rainfall in the watershed.  The district has no reservoirs and instead draws from stream flows from the Inverness Ridge to refill its storage tanks.  Although the area typically receives 15.5 inches of precipitation from February through June, only 6 inches fell.  Marin Independent Journal (Calif.), July 16, 2020","Relief, Response & Restrictions, Water Supply & Quality","Inverness, CA",
51249,"Water conservation alert in Bolinas, California",07/30/2020,07/19/2020, ,"The Bolinas Community Public Utility District issued a conservation alert on June 19 requesting a 20 to 30 percent reduction in water use.  The district has a moratorium on new connections to its system, due to a limited supply from Arroyo Hondo Creek and two emergency reservoirs.  Water rationing could be enacted as early as this summer.Marin Independent Journal (Calif.), July 16, 2020","Relief, Response & Restrictions, Water Supply & Quality","Bolinas, CA",
53997,"Drought reduced number of potholes in Los Angeles, California",04/20/2021,07/01/2020,03/31/2021,"Pothole service requests in Los Angeles were down 25%, per the Los Angeles Bureau of Street Services.  Just 14,000 potholes were reported in the first nine months of the fiscal year, compared to 18,400 the previous period.  The decrease is partly due to drought as there was less water to damage roads.Spectrum News 1 (El Segundo, Calif.), April 19, 2021",Society & Public Health,"Los Angeles, CA",
51161,"Stage 4 drought for Mendocino,California",07/29/2020,06/29/2020,07/27/2020,"The stage 4 drought declared for Mendocino on June 29 continued with no change in conditions that prompted the current declaration.The Mendocino Beacon (Calif.), July 28, 2020The Mendocino City Community Services District Board declared a Stage 4 drought, cutting water allotments by 40 percent, as current rainfall was 50 percent of normal for the water year. No new groundwater extraction permits will be considered.  The Mendocino Beacon (Calif.), July 7, 2020","Relief, Response & Restrictions, Water Supply & Quality","Mendocino, CA",
51127,"Phase I water emergency in St. Helena, California",11/03/2020,06/23/2020,10/26/2020,"The St. Helena City Council declared a Phase I water emergency on June 23.  Since July 2019, the city received just 20 inches of rain, leaving Bell Canyon Reservoir at 60 percent of capacity and expected to fall to 33 to 40 percent in November.  The reservoir is one of three water sources for St. Helena. Napa Valley Register (Calif.), June 27, 2020","Relief, Response & Restrictions, Water Supply & Quality","Saint Helena, CA",
51250,Water conservation mandate for North Marin Water District in California,03/03/2021,04/27/2020,02/27/2021,"The North Marin Water District, serving Novato, implemented a 25 percent water conservation mandate on July 1, due to the water shortage emergency declared in early May when customers were asked to voluntarily reduce water use by 15 percent in May and June.  Marin Independent Journal (Calif.), July 16, 2020","Relief, Response & Restrictions, Water Supply & Quality","Novato, CA",
50810,State Water Project allocation estimate of 20 percent for California water agencies,05/28/2020,12/30/2019,05/26/2020,"After a dry winter, the State Water Project increased its allocation to 20 percent following above normal precipitation in May.  The initial allocation in December 2019 was 10 percent, and the January estimate was increased to 15 percent.  The most recent allocation will likely be final for 2020.East County Today (Antioch, Calif.), May 26, 2020The State Water Project allocation for 2020 remained at 15 percent as of May 13.Ag Alert (Sacramento, Calif.), May 13, 2020The California Department of Water Resource estimated a delivery allocation of 15 percent for the San Bernardino Valley Municipal Water District and other agencies which receive water from the State Water Project.  The SWP typically provides closer to 30 percent of the needed water, but snowpack in the Sierra Nevada was 70 percent of normal at the end of January.Highland Community News (Calif.), Feb. 13, 2020","Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
48668,"Trees, shrubs being replanted after drought in Bakersfield, California",10/25/2019,10/24/2019, ,"Drought in recent years killed many trees and shrubs throughout Bakersfield.  The city was aiming to plant 3,550 trees and 32,100 shrubs to replace the dead ones at a cost of $1.5 million.  Bakersfield.com (Calif.), Oct. 24, 2019","Plants & Wildlife, Society & Public Health","Bakersfield, CA",
48004,Initial allocation of 10 percent for California's State Water Project,12/04/2018,11/30/2018, ,"The California Department of Water Resources announced the initial water allocation of 10 percent for the State Water Project contractors for the 2019 calendar year, due to a dry start to the 2019 water year.  In addition, many large reservoirs were below average.  Department of Water Resources (Sacramento, Calif.), Nov. 30, 2018","Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
47972,"Woolsey, Hill fires in southern California",11/13/2018,11/08/2018, ,"The Woolsey fire burned 151 square miles, consumed more than 430 homes, businesses and other buildings and took two lives.  The blaze was 40 percent contained.  Des Moines Register (Iowa), Nov. 13, 2018Continuing drought in California, ample vegetation and strong winds have set the stage for immense wildfires in southern California, where the Woolsey and Hill fires forced the evacuation of several communities in Los Angeles and Ventura counties, including Malibu and Calabasas.  The Woolsey fire blackened 85,500 acres, killed two people, destroyed 177 homes and was 10 percent contained.  The Hill fire was 70 percent contained. ABC News Radio (New York), Nov. 12, 2018",Fire,"Los Angeles County, CA, Calabasas, CA, Malibu, CA, Ventura County, CA",
45480,The Carr Fire in Northern California,08/21/2018,07/23/2018,08/20/2018,"The Carr fire devastated 229,651 acres, took eight lives and consumed more than 1,000 homes.  The blaze was 88 percent contained as of Aug. 20.Los Angeles Times (Calif.), Aug. 20, 2018The Carr fire west of Redding consumed more than 110,000 acres and at least 818 homes as firefighters continued to battle the flames, which were 27 percent contained. The blaze was the largest and most destructive of 17 fires burning in the state as the fire season looked to be one of the earliest and worst fire seasons for the Golden State.Los Angeles Times (Calif.), Aug. 1, 2018The Carr Fire had burned 80,906 acres through July 28, consumed 500 buildings and taken the lives of five people as extreme heat, low humidity and unpredictable winds fed the flames. Washington Post (D.C.), July 28, 2018The Carr fire was driven by extreme heat and an abundance of dried fuels and burned intensely enough to create its own weather, said fire experts.  After five years of drought, followed by record heavy rains in Northern California in 2017, there was ample fuel to burn. Los Angeles Times (Calif.), July 28, 2018",Fire,"Shasta County, CA, Redding, CA, Trinity County, CA",
46792,"Parks, medians receive extra watering in Long Beach, California",08/31/2018,07/01/2018,06/30/2019,"The City of Long Beach approved an additional $900,000 for watering parks and medians to make them look nicer after drought parched vegetation.  Rainfall at the airport during the 2017-18 season, ending in June, was 3.65 inches, more than 7 inches below normal. Long Beach Post (Calif.), Aug. 29, 2018","Plants & Wildlife, Society & Public Health, Water Supply & Quality","Long Beach, CA",
45087,"U.S. Bureau of Reclamation awarded $8.3 million to California, New Mexico and Utah",06/27/2018,06/26/2018, ,"The U.S. Bureau of Reclamation awarded $8.3 million for 15 projects in California, New Mexico and Utah for preparation and response to drought.  The types of projects chosen will increase water management flexibility and water supply reliability, while also lowering the need for emergency response actions to drought.seattlepi.com (Wash.), June 26, 2018","Relief, Response & Restrictions, Water Supply & Quality","California, Sacramento County, CA, Sacramento, CA, New Mexico, Sierra County, NM, Utah, Sanpete County, UT, Ephraim, UT",
48672,"Seven to eight million dead trees in Kern County, California",10/25/2019,03/13/2018, ,"Kern County officials were planning to remove thousands of dead wildland pine trees that were killed by drought and an infestation of bark beetles.  The county was awarded nearly $2.2 million in state grant funds to remove trees near roadways and public facilities to protect the public from falling trees and wildfires.  The Kern County Fire Chief estimated that there were seven to eight million dead trees in the county.Bakersfield.com (Calf.), March 13, 2018","Plants & Wildlife, Relief, Response & Restrictions","Kern County, CA, Piute (historical), CA, Tehachapi, CA",
44265,"Yountville, California warned about low water supply",02/23/2018,02/19/2018, ,"The reservoir supplying Yountville was running low, prompting the State Water Resources Control Board to warn the town and the reservoir owner that they may face low water supplies come summer. Napa Valley Register (Calif.), Feb. 19, 2018","Relief, Response & Restrictions, Water Supply & Quality","Yountville, CA",
44179,Slim poppy crop at Antelope Valley California Poppy Reserve,02/13/2018,02/13/2018, ,"Only a few poppies came up at the Antelope Valley California Poppy Reserve in Lancaster, which does not bode well for the springtime wildflower bloom.  The nearby hills were mostly brown.  Los Angeles Times (Calif.), Feb. 13, 2018",Plants & Wildlife,"Los Angeles County, CA, Lancaster, CA",
