Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53712,Updated water allocation of 5% for California's State Water Project,03/23/2021,12/01/2020,12/31/2021,"The California Department of Water Resources updated its initial water allocation for the 2021 water year to 5% of requested supplies, down from 10% as announced in December 2020.  The allocation will be finalized by May.  The State Water Project serves more than 27 million people and provides irrigation for about 750,000 acres of farmland, mostly in the San Joaquin Valley.YubaNet (Calif.), March 23, 2021The California Department of Water Resources announced the initial water allocation of 10 percent for the State Water Project.  While the initial allocation was low, the allocation last year was also 10 percent, but was increased to 20 percent in May 2020. Napa Valley Register (Calif.), Dec. 1 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Alameda County, CA, Butte County, CA, Fresno County, CA, Kern County, CA, Kings County, CA, Los Angeles County, CA, Napa County, CA, Orange County, CA, Plumas County, CA, Riverside County, CA, San Bernardino County, CA, San Diego County, CA, San Luis Obispo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Solano County, CA, Yuba City, CA, Tulare County, CA, Ventura County, CA",
51648,"Phase II water emergency in St. Helena, California",03/24/2021,10/27/2020,03/24/2021,"New penalties will be imposed on St. Helena water customers who exceed their rations beginning May 1 as the Phase II water emergency continued.  The penalties must be approved at an upcoming April 13 council meeting. The city allocates 65 gallons per person daily, plus 2,500 gallons per month for outdoor use.  St. Helena’s Bell Canyon Reservoir is at 42% of capacity.Napa Valley Register (Calif.), March 24, 2021The Phase II water emergency remained in effect for St. Helena.  Bell Canyon Reservoir had an elevation of 400.11 feet, or about 40% of capacity.  Napa Valley Register (Calif.), March 10, 2021Drought and increased water demand for firefighting led St. Helena authorities to declare a Phase II water emergency and order mandatory rationing.  Bell Canyon Reservoir was at 38.8 percent of capacity after a year of meager rainfall yielding just 20 inches.  An unknown amount of water was also used to fight the LNU Lightning Complex and Glass fires.Napa Valley Register (Calif.), Oct 28, 2020","Relief, Response & Restrictions, Water Supply & Quality","Napa County, CA, Saint Helena, CA",
51614,Marin Municipal Water District in California preparing for a dry winter,10/20/2020,10/10/2020, ,"The Marin Municipal Water District has been purchasing more imported water earlier than usual from the Sonoma Water in preparation for a dry La Niña winter rather than drawing from its seven reservoirs.  The reservoirs were at 66 percent of capacity at the end of the water year on Sept. 30, which is 96 percent of average capacity for that date.  Water conservation would also be beneficial in stretching the supply.The Mercury News (Calif.), Oct. 10, 2020","Relief, Response & Restrictions, Water Supply & Quality","Marin County, CA, Sonoma County, CA",
51577,More funds for Klamath Reclamation Project in Oregon,10/12/2020,10/01/2020, ,"The U.S. House of Representatives passed an amendment of the 2000 Klamath Basin Water Supply Enhancement Act, which will better distribute $10 million in funding annually to drought relief efforts in the Klamath Basin.Klamath Falls Herald and News (Ore.), Oct. 1, 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Modoc County, CA, Siskiyou County, CA, District of Columbia, District of Columbia, DC, Klamath County, OR",
51415,"Drought, heat affected grape growth in Napa County, California",09/02/2020,08/25/2020, ,"A grape grower in Carneros reported vines struggling, due to dry soils, and reduced yields.  Chardonnay yields were down over 50 percent and Pinot Noir grapes were at least 15 percent below average.  Napa Valley Register (Calif.), Aug. 25, 2020",Agriculture,"Napa County, CA, Carneros (historical), CA",
51370,Hundreds of wildfires burning in California,08/24/2020,08/18/2020, ,"Amid a historic fire season, California has had more acres burn in 2020 than in most other years and the active fall fire season is yet to come.  As 7,002 fires charred the landscape, more than 1.4 million acres have burned, compared to 2019 when 4,292 fires consumed 56,000 acres by this time.The Golden State’s second and third largest fires ever were currently burning.  The LNU Lightning Complex near Vacaville was the second largest fire at 350,030 acres and was 22 percent contained.  The third largest, the SCU Lightning Complex in the South and East Bay, were 10 percent contained at 347,196 acres.Statewide, 625 individual fires were burning.The Mercury News (San Jose, Calif.), Aug 25, 2020California wildfires have burned more than 1.2 million acres, or 1,875 square miles, through Aug. 24, according to Daniel Berlant, assistant deputy director with Cal Fire.  The state endured more than 13,000 lightning strikes, igniting more than 600 wildfires since Aug. 15.  ABC News (New York), Aug. 24, 2020More than 360 wildfires were burning across California as the parched state entered its second week of a heatwave, with many of those blazes moving through areas of brushland, rural spaces, canyons and dense forest to the north, east and south of San Francisco.  At least three people lost their lives.  More than 60,000 people were evacuated from their homes as fires charred roughly 780 square miles.  On Aug. 18, Gov. Gavin Newsom declared a state of emergency for the Golden State to make available resources for fighting the wave of fires, many of them sparked by lightning. Most of California was abnormally dry or in drought.Las Vegas Sun (Nev.), Aug. 21, 2020","Fire, Relief, Response & Restrictions","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Placer County, CA, Plumas County, CA, Sacramento County, CA, San Benito County, CA, San Francisco County, CA, San Joaquin County, CA, San Mateo County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Yolo County, CA, Yuba County, CA",
51338,"Interagency Fire Prevention and Education Team to raise fire awareness in Lassen County, California",08/18/2020,08/17/2020, ,"The Forest Service assembled an Interagency Fire Prevention and Education Team, comprised of state and U.S. Forest Service personnel to increase fire awareness and curb human-caused wildfires, due to severe drought conditions and a 30 percent increase in forest visitors. SusanvilleStuff (Calif.), Aug. 17, 2020","Fire, Relief, Response & Restrictions","Lassen County, CA",
51399,Boat ramps closed at Lake Mendocino in California,08/27/2020,08/09/2020, ,"The low level of Lake Mendocino has resulted in several boats running aground as the Lake Mendocino basin endured its third driest year on record, following 1977 and 1924.  The U.S. Army Corps of Engineers closed the north boat ramp on Aug. 9 and closed the south boat ramp on Aug. 18, preventing the launching of large vessels in the lake.Water releases into the Russian River continued at 165 cubic feet per second to comply with minimum in-stream flows for fish.  The lake level was dropping by about one foot and 300 acre-feet of volume daily, which is not uncommon for the end of summer, according to the chief operations manager at the U.S. Army Corps of Engineers.The Mendocino Voice (Ukiah, Calif.), Aug. 21, 2020","Relief, Response & Restrictions, Tourism & Recreation, Water Supply & Quality","Mendocino County, CA",
51376,"Water diverted into Lower Klamath Project to aid breeding birds in southern Oregon, northern California",08/25/2020,07/15/2020, ,"Klamath Project wetlands were low on water since fall 2019 and needed additional water in July 2020 to maintain habitat for breeding birds on Lower Klamath and suckers in Tule Lake.  The Bureau of Reclamation began diverting 30 cubic feet per second of water into Lower Klamath Refuge on July 15 and began diverting 100 cfs into Tule Lake around Aug. 10.  Water was freed up by compensating farmers and ranchers for voluntarily idling land or relying on groundwater irrigation.  The influx of water also stemmed a particularly bad botulism outbreak at the Lower Klamath refuge in mid-July.Klamath Falls Herald and News (Ore.), Aug. 25, 2020","Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality","Modoc County, CA, Siskiyou County, CA, Klamath County, OR",
51054,"Burn permits suspended in Tulare County, California",06/16/2020,06/15/2020, ,"All burn permits were suspended in Tulare County after the driest February in the county’s history and increasingly hot and windy summers. Visalia Times-Delta (Calif.), June 12, 2020","Fire, Relief, Response & Restrictions","Tulare County, CA",
51023,"Water conservation efforts for Lake Mendocino, California",05/28/2020,05/26/2020, ,"Sonoma County officials were planning to request permission from the State Water Resources Control Board to reduce water levels in the Russian River this summer to conserve water stored in Lake Mendocino to reserve water for minimal late season flows for fish.  Rainfall was half of normal in the inland areas of Mendocino County, where Lake Mendocino retains runoff into the upper Russian River.  Sonoma Water, the region’s main water wholesaler, is also preparing to reduce flows on the lower Russian River below the confluence with Dry Creek.Santa Rosa Press Democrat (Calif.), May 26, 2020","Relief, Response & Restrictions, Water Supply & Quality","Sonoma County, CA",
50963,"Lower elevation grass gone in Siskiyou County, California",05/13/2020,05/13/2020, ,"The grass in Siskiyou County was gone on most of the lower elevation hills as it never really grew this year and the snow had mostly melted.Ag Alert (Sacramento, Calif.), May 13, 2020","Agriculture, Plants & Wildlife","Siskiyou County, CA",
50956,"Drought emergency declaration requested for Siskiyou County, California",05/08/2020,05/08/2020, ,"Siskiyou County requested a drought emergency declaration from Gov. Gavin Newsom. KDRV-TV ABC 12 (Medford, Ore.), May 8, 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Siskiyou County, CA",
50910,"Fallowed land in Fresno County, California",04/20/2020,04/20/2020, ,"Drought concerns led a Fresno County almond and produce grower to fallow one-fourth of his land.  His fields rely on irrigation water from northern California.UPI (Washington, D.C.), April 20, 2020",Agriculture,"Fresno County, CA",
50908,"Slow grass growth, unfilled livestock ponds in Sonoma County, California",04/20/2020,04/17/2020, ,"Farm ponds in Sonoma County did not refill with spring runoff, and livestock were consuming grass as quickly as it grew, in contrast to better years when grass growth exceeded livestock consumption.  The rainy season brought just 18 inches of rain, in comparison with the average of nearly 34 inches.Santa Rosa Press Democrat (Calif.), April 17, 2020","Agriculture, Plants & Wildlife, Water Supply & Quality","Sonoma County, CA",
50877,"Short grass in Sierra foothills, northern Sacramento Valley in California",03/27/2020,03/25/2020, ,"Grass in the Sierra foothills and northern Sacramento Valley was short and has stopped growing, due to a lack of precipitation after a dry January and February according to Dan Macon, a Cooperative Extension advisor and sheep rancher.  Recent rain has helped it to grow. Agri-Pulse (Sacramento, Calif.), March 25, 2020","Agriculture, Plants & Wildlife","Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, El Dorado County, CA, Glenn County, CA, Mariposa County, CA, Nevada County, CA, Placer County, CA, Shasta County, CA, Tehama County, CA, Tuolumne County, CA, Yuba County, CA",
50869,"Brown pasture in Napa County, California",03/18/2020,03/18/2020, ,"South-facing slopes and areas with shallow soil in Napa County pastures were already brown and done for the season, reported a livestock producer.  He also noted that there would be little carryover vegetation in the fall for cover and livestock.  A recent winter storm might help grass that had not already browned. He opted to move cattle to Lassen County.  In some areas, the absence of moisture meant that creeks were not flowing and stock ponds did not refill.  Ag Alert (Sacramento, Calif.), March 18, 2020","Agriculture, Plants & Wildlife, Water Supply & Quality","Napa County, CA",
51290,"Agricultural emergency in Marin County, California",08/07/2020,03/15/2020,09/01/2020,"Drought conditions led Marin County officials to declare an agricultural emergency.  The county did not yet meet requirements for aid, but expected to by the end of summer.Forage losses were around 46 percent in June when the county agriculture department surveyed several dozen ranchers representing 35 percent of the total 154,000 acres of rangeland.  Losses must exceed 50 percent to qualify for aid.January through June were very dry, and May rains came too late to help the forage as the grass had already gone to seed.Point Reyes Light (Calif.), Aug 5, 2020","Agriculture, Plants & Wildlife, Relief, Response & Restrictions","Marin County, CA",
