Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51370,Hundreds of wildfires burning in California,08/24/2020,08/18/2020, ,"Amid a historic fire season, California has had more acres burn in 2020 than in most other years and the active fall fire season is yet to come.  As 7,002 fires charred the landscape, more than 1.4 million acres have burned, compared to 2019 when 4,292 fires consumed 56,000 acres by this time.The Golden State’s second and third largest fires ever were currently burning.  The LNU Lightning Complex near Vacaville was the second largest fire at 350,030 acres and was 22 percent contained.  The third largest, the SCU Lightning Complex in the South and East Bay, were 10 percent contained at 347,196 acres.Statewide, 625 individual fires were burning.The Mercury News (San Jose, Calif.), Aug 25, 2020California wildfires have burned more than 1.2 million acres, or 1,875 square miles, through Aug. 24, according to Daniel Berlant, assistant deputy director with Cal Fire.  The state endured more than 13,000 lightning strikes, igniting more than 600 wildfires since Aug. 15.  ABC News (New York), Aug. 24, 2020More than 360 wildfires were burning across California as the parched state entered its second week of a heatwave, with many of those blazes moving through areas of brushland, rural spaces, canyons and dense forest to the north, east and south of San Francisco.  At least three people lost their lives.  More than 60,000 people were evacuated from their homes as fires charred roughly 780 square miles.  On Aug. 18, Gov. Gavin Newsom declared a state of emergency for the Golden State to make available resources for fighting the wave of fires, many of them sparked by lightning. Most of California was abnormally dry or in drought.Las Vegas Sun (Nev.), Aug. 21, 2020","Fire, Relief, Response & Restrictions","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Placer County, CA, Plumas County, CA, Sacramento County, CA, San Benito County, CA, San Francisco County, CA, San Joaquin County, CA, San Mateo County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Yolo County, CA, Yuba County, CA",
50846,Extreme fire behavior in California,03/01/2021,01/01/2020,12/31/2020,"California's 2020 fire season was historic with 9,917 wildfires that charred 4,257,863 acres, per Cal Fire.USA Today (McLean, Va.), Feb. 3, 2021More than 4 million acres have burned in California as the state continued to endure massive wildfires, mostly in the northern part of the state.  The amount of land burned is more than twice the previous record area burned during a single year, which occurred in 2018 when blazes charred more than 1.67 million acres.  The August Complex exceeded 1 million acres, another record.Many dead trees, upwards of 150 million, were killed during the state's recent five-year drought, and were fueling current wildfires.Napa Valley Register (Calif.), Oct. 6, 2020Since the start of 2020, California has endured over 7,900 wildfires that consumed more than 3.6 million acres, according to Cal Fire data.Desert Sun (Palm Springs, Calif.), Sept. 21, 2020Drought and heat in California were leading to extreme fire behavior.  Recently numerous fires have grown by tens of thousands of acres in a matter of hours, events that have become more common.  The Creek Fire in Sierra National Forest near Yosemite National Park was one such fire that trapper hundreds of campers who had to be airlifted to safety.  This far in 2020, California has seen a record 3,900 square miles torched by wildfires as it enters what is typically the height of the fire season.Napa Valley Register (Calif.), Sept. 10, 2020A historically warm, dry February raised the likelihood of a difficult fire season in California.  In Mendocino National Park in northern California, U.S. Forest Service crews were trying to extinguish a blaze burning through timber.  State firefighters have battled 280 small fires, compared to just 85 by this time last year.  In a rare February event, the U.S. Forest Service put out a fire at the 4,000 level where snow ought to cover the landscape at this time of year.KRON4 (San Francisco, Calif.), Feb. 26, 2020",Fire,"California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Placer County, CA, Plumas County, CA, Sacramento County, CA, San Benito County, CA, San Francisco County, CA, San Joaquin County, CA, San Mateo County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Yolo County, CA, Yuba County, CA",
45527,One-fourth of California's annual fire budget up in smoke,08/02/2018,07/01/2018,07/31/2018,"One-fourth of California’s annual fire budget—at least $130 million—was spent in the first month of the budget year as numerous blazes broke out.  Scott McLean of Cal Fire blamed the dry conditions, saying the state never really escaped drought status and needed several years of substantial rainfall to fully recover.  Plentiful winter rains also promote vegetation growth, which becomes more fuel for wildfires. Orange County Register (Calif.), Aug. 1, 2018","Fire, Relief, Response & Restrictions","California, Lake County, CA, Mendocino County, CA, Shasta County, CA, Sutter County, CA",
47901,Additional funds needed to battle California wildfires,09/27/2018,07/01/2018,09/25/2018,"Years of drought left California’s landscape loaded with fuel to burn, leading to longer fire seasons.  The expense of firefighting has risen, also, with Cal Fire spending nearly $443 million allotted for the fiscal year and receiving another $234 million during a busy firefighting season.KOVR-TV CBS Sacramento (Calif.), Sept. 25, 2018","Fire, Relief, Response & Restrictions",California,
44174,California water board considering permanent water regulations,02/13/2018,02/12/2018, ,"The final decision on permanent water restrictions will occur at an April 17 meeting of the State Water Resources Control Board.  The Washington Post (D.C.), Feb. 20, 2018The California State Water Resources Control Board was considering regulations that would make seven particular wasteful water practices a crime, including activities such as over watering lawns and irrigating street medians.  The decision on the regulations is anticipated to occur at a Feb. 20 meeting.Orange County Register (Calif.), Feb. 12, 2018","Relief, Response & Restrictions, Water Supply & Quality","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Imperial County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Los Angeles County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Orange County, CA, Placer County, CA, Plumas County, CA, Riverside County, CA, Sacramento County, CA, San Benito County, CA, San Bernardino County, CA, San Diego County, CA, San Francisco County, CA, San Joaquin County, CA, San Luis Obispo County, CA, San Mateo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Ventura County, CA, Yolo County, CA, Yuba County, CA",
45201,Harsh start to California fire season,09/08/2018,01/01/2018,09/08/2018,"More than 1.2 million acres in California burned since the start of the year through Sept. 8.  Los Angeles Times (Calif.), Sept. 8, 2018The wildfire season in California was having its worst start in a decade, as 196,092 acres burned statewide from the beginning of the year through the morning of July 9.  One of the reasons for the intense start was the recent 5-year stretch of drought that killed millions of trees, shrubs and bushes that remain standing and ready to burn.  “We are going to be dealing with the impacts of that drought for many years,” according to Scott McLean, deputy chief of CalFire, the state’s firefighting agency.In addition, the dry winter of 2017-18 left vegetation exceedingly dry.  Then late rains in May allowed grasses to flourish, increasing the amount of grass in many areas by 50 percent, creating more fuel to burn once the grass dried.  Napa Valley Register (Calif.), July 10, 2018","Fire, Plants & Wildlife",California,
41193,"Drought, other factors drive up prices for California avocadoes",08/24/2017,08/17/2017, ,"Drought and last winter’s unusually warm temperatures halved California’s avocado supply this year.  Avocado acreage also dropped from 52,000 acres in 2016 to 44,000 acres this year.KGTV-TV ABC 10 San Diego (Calif.), Aug. 17, 2017",Agriculture,California,
39545,Activists protest Nestlé’s use of springs in southern California,05/11/2017,05/09/2017, ,"Activists continued to protest Nestlé’s use of springs in southern California for its Arrowhead bottled water as drought and the company’s sourcing of water on public land continues to rile the public.  Of the company’s 40 water sources in the U.S., 11 are in California.  Nestlé captures about 30 million gallons of water annually and pays the U.S. Forest Service just $524 for the permit. CBS (New York), May 9, 2017","Business & Industry, Society & Public Health, Water Supply & Quality","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Imperial County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Los Angeles County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Orange County, CA, Placer County, CA, Plumas County, CA, Riverside County, CA, Sacramento County, CA, San Benito County, CA, San Bernardino County, CA, San Diego County, CA, San Francisco County, CA, San Joaquin County, CA, San Luis Obispo County, CA, San Mateo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Ventura County, CA, Yolo County, CA, Yuba County, CA",
39129,California water board extends water conservation rules until spring,02/08/2017,02/08/2017, ,"The State Water Resources Control Board opted to keep the water restrictions until spring to see how the rest of winter plays out, in terms of precipitation, before making any changes to the restrictions.  In the days leading up to the decision, a coalition of lawmakers and water districts pressed for an end to the regulations and the drought emergency, arguing that the public could see a drought emergency no longer existed.  The Sacramento Bee (Calif.), Feb. 8, 2017","Relief, Response & Restrictions, Water Supply & Quality","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Imperial County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Los Angeles County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Orange County, CA, Placer County, CA, Plumas County, CA, Riverside County, CA, Sacramento County, CA, San Benito County, CA, San Bernardino County, CA, San Diego County, CA, San Francisco County, CA, San Joaquin County, CA, San Luis Obispo County, CA, San Mateo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Ventura County, CA, Yolo County, CA, Yuba County, CA",
39094,California water authority considering continuation of emergency drought mandates,01/19/2017,01/18/2017, ,"The State Water Resources Control Board took up recommendations for the renewal of emergency drought mandates, requiring urban suppliers to have three years’ worth of water in reserve or conserve water.   Water agencies would like an end to the conservation mandates, especially since recent plentiful precipitation has deepened the Sierra Nevada snowpack and refilled reservoirs.  Tim Quinn, the executive director of the Association of California Water Agencies, said in an email that conditions had changed and that acting as though the  state were still in a drought emergency strained credibility.San Francisco Chronicle (SFGate.com) (Calif.), Jan. 17, 2017The state water board will hold a vote on Feb. 7 to determine the future of the drought mandates.Orange County Register (Santa Ana, Calif.), Jan. 18, 2017","Relief, Response & Restrictions, Water Supply & Quality","California, Alameda County, CA, Alpine County, CA, Amador County, CA, Butte County, CA, Calaveras County, CA, Colusa County, CA, Contra Costa County, CA, Del Norte County, CA, El Dorado County, CA, Fresno County, CA, Glenn County, CA, Humboldt County, CA, Imperial County, CA, Inyo County, CA, Kern County, CA, Kings County, CA, Lake County, CA, Lassen County, CA, Los Angeles County, CA, Madera County, CA, Marin County, CA, Mariposa County, CA, Mendocino County, CA, Merced County, CA, Modoc County, CA, Mono County, CA, Monterey County, CA, Napa County, CA, Nevada County, CA, Orange County, CA, Placer County, CA, Plumas County, CA, Riverside County, CA, Sacramento County, CA, San Benito County, CA, San Bernardino County, CA, San Diego County, CA, San Francisco County, CA, San Joaquin County, CA, San Luis Obispo County, CA, San Mateo County, CA, Santa Barbara County, CA, Santa Clara County, CA, Santa Cruz County, CA, Shasta County, CA, Sierra County, CA, Siskiyou County, CA, Solano County, CA, Sonoma County, CA, Stanislaus County, CA, Sutter County, CA, Tehama County, CA, Trinity County, CA, Tulare County, CA, Tuolumne County, CA, Ventura County, CA, Yolo County, CA, Yuba County, CA",
