Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51605,"Colorado State University reducing landscape irrigation in Fort Collins, Colorado",10/16/2020,10/12/2020, ,"Colorado State University ended all landscape irrigation using domestic water and voluntarily limited raw water irrigation as the city of Fort Collins urged water conservation.Colorado State University Source (Fort Collins), Oct 12, 2020","Relief, Response & Restrictions, Water Supply & Quality","Fort Collins, CO",
51484,"Water restrictions in Fort Collins, Colorado",09/17/2020,10/01/2020,11/30/2020,"Water restrictions began in Fort Collins on Oct. 1 as the area faced extreme drought, the Cameron Peak Fire and an infrastructure repair project.  The restrictions were expected to last through about Nov. 30. 9News (Denver, Colo.), Sept 17, 2020","Relief, Response & Restrictions, Water Supply & Quality","Fort Collins, CO",
51493,Higher bear activity in northern Colorado,09/18/2020,09/12/2020, ,"Bear activity in Larimer, Weld, Broomfield and Boulder counties has increased significantly as the bruins prepare for winter hibernation by eating excessively.  Drought reduced the usual abundance of berries, leaving the bears to search for food in residential areas.New Country 99.1 (Windsor, Colo.), Sept 12, 2020",Plants & Wildlife,"Boulder County, CO, Broomfield County, CO, Larimer County, CO, Fort Collins, CO, Weld County, CO",
51408,Call on Yampa River in northwest Colorado,09/15/2020,08/26/2020,09/03/2020,"Three water providers announced the release of up to 1,500 acre-feet of water from Elkhead Reservoir to aid irrigators in the Yampa River Valley and endangered fish and lift the call on the river.  Tri-State Generation and Transmission Association began releasing 500 acre-feet of its water, and the Colorado River District began releasing 750 acre-feet of water from the reservoir near Hayden.  Colorado Water Trust will use funds from the Colorado Water Conservation Board to support the upper Colorado Endangered Fish Recovery Program’s contract for additional water in Elkhead in 2020.The Aspen Times (Colo.), Sept 7, 2020Water restrictions began on the main stretch of the Yampa River on Aug. 26, for the second time ever.  The call occurred because the lower section of the river near Dinosaur National Monument was low and water users were not receiving their legally protected shares.  Water users along the Yampa River with a water right decreed after Sept. 1, 1960 have to curtail water use.  The call also curtails Steamboat Springs’ water rights, but the city can purchase water from Stagecoach Reservoir.Steamboat Pilot & Today (Steamboat Springs, Colo.), Aug 26, 2020","Agriculture, Relief, Response & Restrictions, Water Supply & Quality","Moffat County, CO, Routt County, CO, Steamboat Springs, CO",
51434,"Several North Fork Valley communities adopt water restrictions in Delta County, Colorado",09/03/2020,08/17/2020, ,"Several communities in the North Fork Valley adopted water restrictions as the area was in extreme drought.  Paonia, Hotchkiss and Crawford enacted voluntary restrictions in August.Delta County Independent (Delta, Colo.), Sept 1, 2020","Relief, Response & Restrictions, Water Supply & Quality","Delta County, CO, Crawford, CO, Hotchkiss, CO, Paonia, CO",
51217,"Bear activity high in Creede, Colorado",07/24/2020,07/23/2020, ,"Bear activity in Creede was higher than normal as drought and heat limited the berry crop.  The Colorado Parks and Wildlife staff were monitoring several bears in Creede and were planning to relocate them.Mineral County Miner (Monte Vista, Colo.), July 23, 2020",Plants & Wildlife,"Mineral County, CO, Creede, CO",
51256,"Stage one water shortage in Aspen, Colorado",07/30/2020,07/16/2020, ,"The City of Aspen is in a stage one water shortage, due to drought.  Residents are urged to voluntarily reduce water use by 10 percent.  Aspen has no water storage and depends on the Castle Creek and Maroon Creek watersheds.Aspen Public Radio (Colo.), July 16, 2020","Relief, Response & Restrictions, Water Supply & Quality","Aspen, CO",
51195,"River park water channel dammed in Grand Junction, Colorado",07/23/2020,07/15/2020, ,"The low level of the Colorado River, below 810 cubic feet per second in Grand Junction, prompted the city to dam the river park at Las Colonias to protect the river habitat critical for wildlife. KREXTV (Grand Junction, Colo.), July 21, 2020","Plants & Wildlife, Relief, Response & Restrictions, Tourism & Recreation, Water Supply & Quality","Mesa County, CO, Grand Junction, CO",
51140,"Stage 1 fire restrictions in Pueblo, Pueblo County, Colorado",07/01/2020,06/30/2020, ,"The city of Pueblo and Pueblo County remained in stage 1 fire restrictions as the area remained extremely dry.  Open fires were prohibited.  The sale and use of fireworks were banned.Pueblo Chieftain (Colo.), June 30, 2020","Fire, Relief, Response & Restrictions","Pueblo County, CO, Pueblo, CO",
51072,"Voluntary water conservation in Evergreen, Colorado",06/19/2020,06/18/2020, ,"A stage 1 drought was declared for Evergreen, due to the low flow of Bear Creek.  Residents were asked to voluntarily conserve water and limit lawn watering to certain hours.Evergreen Canyon Courier (Colo.), June 18, 2020","Relief, Response & Restrictions, Water Supply & Quality","Jefferson County, CO, Evergreen, CO, Kittredge, CO",
51043,"Fireworks displays canceled in La Junta, Rocky Ford, Colorado",06/11/2020,06/10/2020, ,"La Junta and Rocky Ford fire departments canceled their annual fireworks display, due to worsening drought conditions.  La Junta Tribune-Democrat (Colo.), June 10, 2020","Fire, Relief, Response & Restrictions, Tourism & Recreation","La Junta, CO, Rocky Ford, CO",
51037,"Water cconservation in Mountain Village, Colorado",06/04/2020,06/01/2020, ,"Water conservation efforts begin in the Mountain Village area on June 1.  Landscape watering was limited to three days per week, exterior water features must be turned off, and no trucked-in water was allowed to be connected to existing irrigation systems.  Telluride Daily Planet (Colo.), May 28, 2020","Relief, Response & Restrictions, Water Supply & Quality","San Miguel County, CO, Mountain Village, CO",
51378,"Fire restrictions in Aurora, Colorado",08/26/2020,05/25/2020,08/24/2020,"Burn restrictions intensified in Aurora on Aug. 24, prohibiting recreational bonfires at private homes and all smoking in city parks as the area remained dry.  Stage one burn restrictions began in Aurora in late May.Sentinel Colorado (Aurora, Colo.), Aug. 24, 2020","Fire, Relief, Response & Restrictions","Aurora, CO",
51012,"Smoking, fire restrictions in Durango, Colorado",05/22/2020,05/21/2020, ,"Smoking and fire restrictions were issued in Durango on May 21 as fire conditions were extreme.  No fires or burning is allowed within city limits.  Drought was a concern, as was the level of dead fuels. The Durango Herald (Colo.), May 21, 2020","Fire, Relief, Response & Restrictions","Durango, CO",
50835,"Tree watering recommended in Grand Junction, Colorado",02/21/2020,02/17/2020, ,"The Colorado Forest Service recommends watering newly planted trees at lower elevations to avoid tree damage, given the drought conditions.KREX-TV CBS 5 (Grand Junction, Colo.), Feb. 17, 2020","Plants & Wildlife, Relief, Response & Restrictions","Mesa County, CO, Grand Junction, CO",
48394,"Burn permits suspended near Durango, Colorado",09/12/2019,09/09/2019, ,"All burn permits were suspended by the Durango Fire Protection District until further notice, due to dry conditions in the Four Corners.  Agricultural burning was highly discouraged. Durango Herald (Colo.), Sept. 9, 2019","Fire, Relief, Response & Restrictions","La Plata County, CO, Durango, CO",
48063,"Raw water supply half of normal in Paonia, Colorado",03/05/2019,02/26/2019, ,"Water leaks and drought have cut into Paonia’s water supply, leading to diminished water production and a temporary loss of water service.  The 22 springs at the base of Mount Lamborn, providing raw water for Paonia, were also producing half of the normal amount of water after exceedingly dry conditions in 2018.  KUNC-FM 91.5 (Greeley, Colo.), March 4, 2019","Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality","Delta County, CO, Paonia, CO",
48046,Some northern Colorado golf courses closing temporarily,04/10/2019,01/01/2019,03/15/2019,"Some golf courses in northern Colorado were closing temporarily as the warm, dry winter drew more golfers out on the courses, increasing the wear, which can lead to higher maintenance costs in the spring.  Many municipal courses in the Fort Collins area were open, while some private ones had closed or had restrictions on cart use.  Fort Collins Country Club and Ptarmigan Country Club were closed, while Windsor, Highland Meadows and Mountain Vista Golf Course had cart restrictions.  The warm, dry conditions also allowed some golf courses to bring in record revenue and rounds in January.Fort Collins Coloradoan (Colo.), Feb. 1, 2019 and Greeley Daily Tribune (Colo.), April 10, 2019","Plants & Wildlife, Tourism & Recreation","Larimer County, CO, Fort Collins, CO, Weld County, CO, Greeley, CO",
