Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
53732,Colorado's Rio Blanco Water Conservancy District preparing for continued drought,01/04/2021,12/26/2020, ,"Colorado Gov. Jared Polis sent a memorandum of drought emergency to executive directors of state government departments, prompting water suppliers to prepare for more drought in 2021.  The district manager for the Rio Blanco Water Conservancy District noted that there was no drought contingency within the White River basin, meaning that storage in the basin was enough for a couple days’ supply.  There is a proposal, however, to construct the Wolf Creek Reservoir, which would hold 66,000 to 73,000 acre-feet of water, but state engineers contested that Rio Blanco failed to identify the need for that much water.Rio Blanco Herald Times (Colo.), Dec. 26, 2020","Relief, Response & Restrictions, Water Supply & Quality","Rio Blanco County, CO",
53735,Animals remaining near drainages in Southwest Colorado,01/22/2021,12/22/2020, ,"The lack of water in southwest Colorado forced many animals, such as blue grouse, to remain near drainages and at lower elevations than is typical for them late in the season.Longtime ranchers have noted reliably perennial streams and other water sources have gone dry this year that have never gone dry before.The Durango Herald (Colo.), Dec. 22, 2020","Plants & Wildlife, Water Supply & Quality","La Plata County, CO",
53719,"Evergreen trees affected by drought in Rio Blanco County, Colorado",12/17/2020,12/09/2020, ,"Many evergreen trees, including pine, pinyon and spruce, were exhibiting decreased vigor, twig dieback and needle browning or needle drop, due to prolonged drought in Rio Blanco County.  Rio Blanco Herald Times (Meeker, Colo.), Dec. 9, 2020",Plants & Wildlife,"Rio Blanco County, CO",
53739,Winter wheat stressed in eastern Colorado,01/28/2021,12/01/2020, ,"Winter wheat and pastures in eastern Colorado were stressed from continued lack of consistent precipitation.  Pasture and crop condition would benefit from more precipitation before spring. Producers continued feeding livestock, and feed supplies were running low. The Prowers Journal (Lamar, Colo.), Jan. 5, 2021","Agriculture, Plants & Wildlife","Baca County, CO, Bent County, CO, Cheyenne County, CO, Crowley County, CO, Kiowa County, CO, Kit Carson County, CO, Las Animas County, CO, Lincoln County, CO, Logan County, CO, Morgan County, CO, Otero County, CO, Phillips County, CO, Prowers County, CO, Sedgwick County, CO, Washington County, CO, Yuma County, CO",
53740,Alternate winter grazing sought in Colorado's San Luis Valley,01/28/2021,12/01/2020, ,"Livestock producers in the San Luis Valley were actively searching for alternate winter grazing arrangements as pasture and rangeland remained very short.  The Prowers Journal (Lamar, Colo.), Jan. 5, 2021","Agriculture, Plants & Wildlife","Alamosa County, CO, Conejos County, CO, Costilla County, CO, Mineral County, CO, Rio Grande County, CO, Saguache County, CO, Taos County, NM",
53897,"Dry weather, heat delayed opening of ski resort in Mesa County, Colorado",04/01/2021,11/27/2020,12/01/2020,"Unseasonably dry weather and high temperatures delayed the opening day for Powderhorn Mountain Resort from late November to the first week in December.  The Daily Sentinel (Grand Junction, Colo.), Nov. 25, 2020","Relief, Response & Restrictions, Tourism & Recreation","Mesa County, CO",
53696,Pastures deteriorating in Colorado's San Luis Valley,12/02/2020,11/25/2020, ,"San Luis Valley pasture conditions continued to deteriorate, and more livestock were receiving supplemental feed.Kiowa County Press (Eads, Colo.), Nov. 25, 2020","Agriculture, Plants & Wildlife","Alamosa County, CO, Conejos County, CO, Costilla County, CO, Mineral County, CO, Rio Grande County, CO, Saguache County, CO, Taos County, NM",
53695,Winter wheat emergence struggled in eastern Colorado,12/02/2020,11/25/2020,11/29/2020,"Winter wheat emergence and condition in eastern Colorado struggled, due to dry and windy weather, as virtually no rain fell.  Wheat stands were uneven.  Livestock producers continued to cull herds and provided supplemental feed.  More producers were seeking alternate grazing arrangements, due to a shortage of native grass.  Kiowa County Press (Eads, Colo.), Nov. 25, 2020","Agriculture, Plants & Wildlife","Baca County, CO, Bent County, CO, Cheyenne County, CO, Crowley County, CO, Kiowa County, CO, Kit Carson County, CO, Las Animas County, CO, Lincoln County, CO, Logan County, CO, Morgan County, CO, Otero County, CO, Phillips County, CO, Prowers County, CO, Sedgwick County, CO, Washington County, CO, Yuma County, CO",
52687,"Winter wheat emergence struggling, pasture conditions deteriorating in northeast Colorado",11/20/2020,11/15/2020, ,"Winter wheat emergence in northeastern Colorado continued to struggle in places, due to dry conditions and strong winds, which caused the soil to blow.  Pasture conditions continued to deteriorate, due to drought.  Livestock producers were considering further herd reductions.The Prowers Journal (Lamar, Colo.), Nov. 17, 2020","Agriculture, Plants & Wildlife","Logan County, CO, Morgan County, CO, Phillips County, CO, Sedgwick County, CO, Washington County, CO, Yuma County, CO",
52688,"Corn abandoned, winter wheat emergence uneven in east central Colorado",11/20/2020,11/15/2020, ,"Some corn in east central Colorado was abandoned due to drought, and wheat emergence was inconsistent.  The area endured high winds and blowing soil, which was harmful to winter wheat and pastures without good cover.  The Prowers Journal (Lamar, Colo.), Nov. 17, 2020",Agriculture,"Cheyenne County, CO, Crowley County, CO, Kiowa County, CO, Kit Carson County, CO, Lincoln County, CO",
52689,Livestock receiving supplemental feed in Colorado's San Luis Valley,11/20/2020,11/15/2020, ,"San Luis Valley livestock producers were providing supplemental feed due to a lack of native grass in pastures.  The Prowers Journal (Lamar, Colo.), Nov. 17, 2020","Agriculture, Plants & Wildlife","Alamosa County, CO, Conejos County, CO, Costilla County, CO, Mineral County, CO, Rio Grande County, CO, Saguache County, CO",
51674,Winter wheat in east central Colorado in need of moisture,11/11/2020,11/08/2020, ,"In east central Colorado, moisture was needed to help winter wheat emergence as conditions were extremely dry. The Prowers Journal (Lamar, Colo.), Nov. 10, 2020",Agriculture,"Cheyenne County, CO, Crowley County, CO, Kiowa County, CO, Kit Carson County, CO, Lincoln County, CO",
51673,Continued supplemental feed for northeast Colorado livestock,11/11/2020,11/08/2020, ,"Northeast Colorado livestock producers continued to offer supplemental feed and utilize corn stalks where available.  Producers were baling corn stalks after harvest and feed supplies remained tight.The Prowers Journal (Lamar, Colo.), Nov. 10, 2020","Agriculture, Plants & Wildlife","Logan County, CO, Morgan County, CO, Phillips County, CO, Sedgwick County, CO, Washington County, CO, Yuma County, CO",
