Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
54018,"Stage 2 drought restrictions in San Marcos, Texas",04/22/2021,04/25/2021, ,"Stage 2 drought restrictions began in San Marcos on April 25 after the Edwards Aquifer Authority declared Stage 2 pumping restrictions on April 19 as water levels declined and springflow decreased at San Marcos Springs and at Comal Springs in New Braunfels.  The 10-day average aquifer level was 649.3 feet msl, and the daily reading was 647.8 feet msl on April 21.San Marcos Daily Record (Texas), April 21, 2021","Relief, Response & Restrictions, Water Supply & Quality","San Marcos, TX",
53996,"Stage 2 water restrictions in San Antonio, Texas",04/20/2021,04/20/2021, ,"Stage 2 water rules took effect in San Antonio on April 20 as the area received less than 40% of normal precipitation since June 2020.  The Edward Aquifer’s 10-day average fell to 649.9 feet, which triggered the stage 2 restrictions.My San Antonio.com (Texas), April 19, 2021","Relief, Response & Restrictions, Water Supply & Quality","San Antonio, TX",
54014,"Stage 2 water restrictions in New Braunfels, Texas",04/22/2021,04/19/2021, ,"Stage 2 water restrictions began in New Braunfels on April 19 after the indicator well fell to 649.6 feet, due to low rainfall and warm temperatures.  Stage 2 occurs when the water level falls below 650 feet. New Braunfels had previously been in a stage 1 restriction since October 2020 when the aquifer level fell below 660 feet.New Braunfels Herald-Zeitung (Texas), April 19, 2021","Relief, Response & Restrictions, Water Supply & Quality","New Braunfels, TX",
53913,"Stage 1 drought restrictions in San Marcos, Texas",04/22/2021,04/04/2021,04/24/2021,"Stage 1 drought restrictions took effect in San Marcos on April 4 as the 10-day average Edwards Aquifer index well level fell below 660 feet above mean sea level.  The 10-day average aquifer level was 658.9 feet and the daily reading was 658.2 feet on March 31.San Marcos was recently in Stage 1 drought restrictions from Oct. 16, 2020 through Jan. 10, 2021.San Marcos Daily Record (Texas), April 2, 2021","Relief, Response & Restrictions, Water Supply & Quality","San Marcos, TX",
53910,"Poppy festival canceled in El Paso, Texas",04/02/2021,03/29/2021, ,"Drought in the El Paso area prevented poppies from growing, leading to the cancelation of the poppies festival.  There was no grass, and cacti were starting to die.KTSM-TV NBC 9 El Paso (Texas), March 29, 2021","Plants & Wildlife, Tourism & Recreation","El Paso County, TX, El Paso, TX",
53869,"Stage 1 drought watch for Lake Somerville, Texas",03/18/2021,03/15/2021, ,"A Stage 1 drought watch for Lake Somerville was announced by the Brazos River Authority on March 15.  The BRA’s Drought Contingency Plan was triggered when the Palmer Hydrologic Drought Index fell below -2.4.  Voluntary water conservation of 5% is requested.KWHI (Brenham, Texas), March 15, 2021","Relief, Response & Restrictions, Water Supply & Quality","Brazoria County, TX, Manvel, TX, Burleson County, TX, Richmond, TX, Rosenberg, TX, Sugar Land, TX, Washington County, TX, Brenham, TX",
53731,"Stage one drought restrictions in Corpus Christi, Texas",01/04/2021,12/28/2020, ,"Stage one drought restrictions took effect in Corpus Christi on Dec. 28 with the goal of reducing water use by at least 10 percent.  Lake Corpus Christi and Choke Canyon Reservoir were at 39.8 percent of capacity.  The restrictions will remain in effect until the lake and reservoir have a combined storage level of more than 50 percent.Corpus Christi Business News (Texas), Dec. 28, 2020","Relief, Response & Restrictions, Water Supply & Quality","Corpus Christi, TX",
53689,"Stage II of drought contingency plan in Victoria, Texas",02/01/2021,11/17/2020,01/13/2021,"Mandatory water restrictions were no longer in effect for Victoria, as of Jan. 13, but voluntary water conservation was still encouraged.  Stage II of the city’s drought contingency plan had been in effect since November 2020, but stage II and I restrictions were lifted as the flow of the Guadalupe River rose above its normal level for 14 consecutive days.  Crossroads Today (Victoria, Texas), Jan. 13, 2021The City of Victoria initiated Stage II of its drought contingency plan as the Guadalupe River fell below 150 cubic feet per second, requiring residents to conserve water.  In Stage II, Victoria may not pump water from the river under its 1998 surface water permit.The city entered Stage I in June when the Guadalupe River fell below its normal level.Crossroads Today (Victoria, Texas), Nov. 17, 2020","Relief, Response & Restrictions, Water Supply & Quality","Victoria, TX",
51647,"Drought, wildfire causes birds to adjust migratory path",11/02/2020,10/26/2020, ,"Drought and wildfires may be driving birds into different migratory routes as birds rarely seen in South Padre Island were making an appearance.  Some of the rare visitors were the painted redstart, Scott’s oriole, hermit warbler, broad-billed and calliope hummingbirds, and the Say’s phoebe, which were hundreds and even more than a thousand miles outside of their normal ranges far to the west.  Brownsville Herald (Texas), Oct 26, 2020",Plants & Wildlife,"Arizona, California, New Mexico, South Padre Island, TX",
51653,"Stage 1 drought restrictions in San Marcos, Texas",04/02/2021,10/25/2020,01/10/2021,"Stage 1 drought restrictions took effect in San Marcos on Oct. 25 as the Edwards Aquifer index well level fell below 660 feet above mean sea level.  San Marcos Corridor News (Texas), Oct 26, 2020","Relief, Response & Restrictions, Water Supply & Quality","San Marcos, TX",
51632,"Ban on outdoor burning in Austin, Texas",10/23/2020,10/22/2020, ,"A temporary ban on outdoor burning took effect for all Austin city parks, greenbelts and preserves, due to drought.  Patch Texas (Austin), Oct 22, 2020","Fire, Relief, Response & Restrictions","Austin, TX",
53931,Stage 1 water restrictions for the Edwards Aquifer Authority in Texas,04/20/2021,10/16/2020,04/19/2021,"San Antonio remained in Stage 1 water restrictions, which began Oct. 16, 2020, but the pumping cut of 20% took effect in the latter part of March.  Outdoor watering with sprinklers is permitted once weekly.  Medina Lake, about 30 miles west of San Antonio, was at 36.3% capacity, compared to 72.7% one year ago.  The Edwards Aquifer Authority enacted 20% restrictions on groundwater pumping on March 24 after the 10-day average of the main index well in Bexar County fell below 660 feet above mean sea level.  Bexar, Atascosa, Caldwell, Comal, Guadalupe, Hays and Medina counties were affected by the restrictions.San Antonio Express-News (Texas), April 5, 2021","Relief, Response & Restrictions, Water Supply & Quality","Atascosa County, TX, Bexar County, TX, San Antonio, TX, Caldwell County, TX, Comal County, TX, Guadalupe County, TX, Hays County, TX, Medina County, TX",
53970,"Stage 1 drought restrictions in New Braunfels, Texas",04/22/2021,10/15/2020,04/19/2021,"New Braunfels Utilities officials anticipate a move from stage 1 to stage 2 drought restrictions by the end of April.  The 10-day average of the J-17 well within the Edwards Aquifer was 655.2-feet, which is about five feet above the trigger for Stage 2 drought restrictions.  New Braunfels has been in stage 1 restrictions since October 2020.Community Impact Newspaper (Pflugerville, Texas), April 11, 2021","Relief, Response & Restrictions, Water Supply & Quality","New Braunfels, TX",
51542,"Duck pond nearly dry in Lubbock, Texas",10/01/2020,09/30/2020, ,"A duck pond in Lubbock was nearly dry, prompting residents to take steps to help the ducks, such as bringing kiddie pools, buckets of water and food.  The Llano Estacado Audubon society will capture and relocate the ducks when a suitable location is chosen.KLBK & KAMC-TV EverythingLubbock.com (Texas), Sept 30, 2020","Plants & Wildlife, Water Supply & Quality","Lubbock, TX",
51262,"Honey production halved in Lamb County, Texas",07/30/2020,07/29/2020, ,"A beekeeper in Littlefield reported that honey production was half the amount of the previous year as drought and the pandemic made beekeeping more difficult.  He stated, “We’ve had to maintain bees on a bare minimum up until the last couple of weeks since cotton started blooming in the area.”KLBK & KAMC-TV EverythingLubbock.com (Texas), July 29, 2020","Agriculture, Plants & Wildlife","Lamb County, TX, Littlefield, TX",
51199,"Stage II water restrictions in La Vernia, Texas",07/23/2020,07/16/2020,10/31/2020,"S.S. Water Supply Corp. enacted stage II water restrictions beginning July 16 and extending through Oct. 31.  Unprecedented pumping levels nearing 12 million gallons occurred from July 11-13, with more than 4 million gallons on July 13.  The aim of the stage II restrictions was to reduce water use by 25 percent.  La Vernia News (Texas), July 22, 2020","Relief, Response & Restrictions, Water Supply & Quality","La Vernia, TX",
51197,"Water conservation urged in Georgetown, Texas",07/23/2020,07/14/2020, ,"Residents of Georgetown were asked to limit water use to avoid a once weekly watering limit as water demand reached record levels.  Water production has exceeded 90 percent of plant capacity several days in the past week.Fox 7 Austin (Texas), July 21, 2020Stage 1 water restrictions began in Georgetown on July 14, due to increased water demand.  KXAN-TV NBC 36 Austin (Texas), July 13, 2020","Relief, Response & Restrictions, Water Supply & Quality","Georgetown, TX",
51163,"Stage 1 water restrictions in New Braunfels, Texas",07/09/2020,07/09/2020, ,"New Braunfels Utilities announced on July 9 that the Edwards Aquifer J-17 Index Well dropped below the Stage 1 trigger.  Water restrictions began July 13. Community Impact - Austin (Texas), July 9, 2020","Relief, Response & Restrictions, Water Supply & Quality","New Braunfels, TX",
51162,"Stage 1 pumping restrictions for Edwards Aquifer Authority around San Antonio, Texas",07/09/2020,07/09/2020, ,"The Edwards Aquifer Authority enacted Stage 1 pumping restrictions for San Antonio, effective July 9.  The 10-day average of the Bexar County index well dropped to 659.8 feet, triggering the restrictions.  San Antonio Express News (Texas), July 9, 2020","Relief, Response & Restrictions, Water Supply & Quality","Atascosa County, TX, Bexar County, TX, San Antonio, TX, Caldwell County, TX, Comal County, TX, Guadalupe County, TX, Hays County, TX, Medina County, TX",
51069,"Stage 1 water restrictions in Victoria, Texas",11/25/2020,06/18/2020,11/16/2020,"Victoria initiated stage one of its drought contingency plan on June 18 as the Guadalupe River was below normal levels for this time of year.  When the river is below normal, the city can pump no more than 10 percent of the river flow.  Water users were to voluntarily reduced water use for nonessential purposes and conserve where possible.Victoria Advocate (Texas), June 16, 2020","Relief, Response & Restrictions, Water Supply & Quality","Victoria, TX",
51070,"Voluntary water conservation requested in Rockdale, Texas",06/18/2020,06/17/2020, ,"Water consumption was high in Rockdale, and the city was nearing state 1 of their Drought Contingency Plan.  Residents were asked to voluntarily reduce irrigation and unnecessary water use.  Fire hydrant flushing was canceled.Rockdale Reporter (Texas), June 17, 2020","Relief, Response & Restrictions, Water Supply & Quality","Rockdale, TX",
