Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places,
51061,Early dryness led to recommendation to defend Texas properties against wildfires,06/18/2020,06/17/2020, ,"Much of Texas was three to four weeks ahead of typical summer drying, leading to increased fire activity and the potential for a severe wildfire season.  Residents were urged by the Texas A&M Forest Service to defend their property against fire by cleaning up dry and dead vegetative debris.EastTexasRadio.Com (Mount Pleasant, Texas), June 17, 2020","Fire, Relief, Response & Restrictions",Texas,
48595,Pumpkin production lower in Texas,10/10/2019,10/08/2019, ,"Pumpkin growers in Texas anticipated a below-average harvest this year as early rains in May and June transitioned to extreme heat and drought during the summer.  A Floyd County grower said his yields were 30 percent to 40 percent below average partially due to heat damaging first fruit sets.  He also noted that he was getting orders from all across the nation from places he does not normally supply, such as the northern U.S., California and the East Coast.The Bryan-College Station Eagle (Texas), Oct. 8, 2019",Agriculture,Texas,
50878,Fewer monarchs migrating north through Texas,03/27/2020,10/01/2019,03/31/2020,"Fifty percent fewer monarch butterflies were migrating north through Texas during the 2020 spring after overwintering in Mexico.  Fall drought in Texas and northeastern New Mexico was thought to play a role in the reduced numbers. The Rivard Report (San Antonio, Texas), March 21, 2020",Plants & Wildlife,"Colfax County, NM, Harding County, NM, Quay County, NM, Union County, NM, Texas",
48497,Cattle prices decline in Texas,09/30/2019,09/25/2019, ,"Cattle prices were down in Texas as the state beef herd hit an eight-year high of 4.65 million and drought caused producers to cull cattle earlier and deeper than usual, among other factors.The Bryan-College Station Eagle (Texas), Sept. 25, 2019",Agriculture,Texas,
48370,Drought necessitates caution with fire in Texas,09/04/2019,08/27/2019, ,"As drought conditions persist and expand, Texans were urged to be particularly careful with fire. North Texas e-News (Fannin, Texas), Aug. 27, 2019","Fire, Relief, Response & Restrictions",Texas,
48361,Texas counties with burn bans,10/02/2019,08/15/2019,10/02/2019,"More than half of Texas’ 254 counties had burn bans as of Aug. 15, according to the Texas A&M Forest Service. Bryan-College Station Eagle (Texas), Aug. 23, 2019","Fire, Relief, Response & Restrictions","Texas, Anderson County, TX, Andrews County, TX, Angelina County, TX, Aransas County, TX, Archer County, TX, Armstrong County, TX, Atascosa County, TX, Austin County, TX, Bailey County, TX, Bandera County, TX, Bastrop County, TX, Baylor County, TX, Bee County, TX, Bell County, TX, Bexar County, TX, Blanco County, TX, Borden County, TX, Bosque County, TX, Bowie County, TX, Brazoria County, TX, Brazos County, TX, Brewster County, TX, Briscoe County, TX, Brooks County, TX, Brown County, TX, Burleson County, TX, Burnet County, TX, Caldwell County, TX, Calhoun County, TX, Callahan County, TX, Cameron County, TX, Camp County, TX, Carson County, TX, Cass County, TX, Castro County, TX, Chambers County, TX, Cherokee County, TX, Childress County, TX, Clay County, TX, Cochran County, TX, Coke County, TX, Coleman County, TX, Collin County, TX, Collingsworth County, TX, Colorado County, TX, Comal County, TX, Comanche County, TX, Concho County, TX, Cooke County, TX, Coryell County, TX, Cottle County, TX, Crane County, TX, Crockett County, TX, Crosby County, TX, Culberson County, TX, Dallam County, TX, Dallas County, TX, Dawson County, TX, Deaf Smith County, TX, Delta County, TX, Denton County, TX, DeWitt County, TX, Dickens County, TX, Dimmit County, TX, Donley County, TX, Duval County, TX, Eastland County, TX, Ector County, TX, Edwards County, TX, El Paso County, TX, Ellis County, TX, Erath County, TX, Falls County, TX, Fannin County, TX, Fayette County, TX, Fisher County, TX, Floyd County, TX, Foard County, TX, Fort Bend County, TX, Franklin County, TX, Freestone County, TX, Frio County, TX, Gaines County, TX, Galveston County, TX, Garza County, TX, Gillespie County, TX, Glasscock County, TX, Goliad County, TX, Gonzales County, TX, Gray County, TX, Grayson County, TX, Gregg County, TX, Grimes County, TX, Guadalupe County, TX, Hale County, TX, Hall County, TX, Hamilton County, TX, Hansford County, TX, Hardeman County, TX, Hardin County, TX, Harris County, TX, Harrison County, TX, Hartley County, TX, Haskell County, TX, Hays County, TX, Hemphill County, TX, Henderson County, TX, Hidalgo County, TX, Hill County, TX, Hockley County, TX, Hood County, TX, Hopkins County, TX, Houston County, TX, Howard County, TX, Hudspeth County, TX, Hunt County, TX, Hutchinson County, TX, Irion County, TX, Jack County, TX, Jackson County, TX, Jasper County, TX, Jeff Davis County, TX, Jefferson County, TX, Jim Hogg County, TX, Jim Wells County, TX, Johnson County, TX, Jones County, TX, Karnes County, TX, Kaufman County, TX, Kendall County, TX, Kenedy County, TX, Kent County, TX, Kerr County, TX, Kimble County, TX, King County, TX, Kinney County, TX, Kleberg County, TX, Knox County, TX, La Salle County, TX, Lamar County, TX, Lamb County, TX, Lampasas County, TX, Lavaca County, TX, Lee County, TX, Leon County, TX, Liberty County, TX, Limestone County, TX, Lipscomb County, TX, Live Oak County, TX, Llano County, TX, Loving County, TX, Lubbock County, TX, Lynn County, TX, Madison County, TX, Marion County, TX, Martin County, TX, Mason County, TX, Matagorda County, TX, Maverick County, TX, McCulloch County, TX, McLennan County, TX, McMullen County, TX, Medina County, TX, Menard County, TX, Midland County, TX, Milam County, TX, Mills County, TX, Mitchell County, TX, Montague County, TX, Montgomery County, TX, Moore County, TX, Morris County, TX, Motley County, TX, Nacogdoches County, TX, Navarro County, TX, Newton County, TX, Nolan County, TX, Nueces County, TX, Ochiltree County, TX, Oldham County, TX, Orange County, TX, Palo Pinto County, TX, Panola County, TX, Parker County, TX, Parmer County, TX, Pecos County, TX, Polk County, TX, Potter County, TX, Presidio County, TX, Rains County, TX, Randall County, TX, Reagan County, TX, Real County, TX, Red River County, TX, Reeves County, TX, Refugio County, TX, Roberts County, TX, Robertson County, TX, Rockwall County, TX, Runnels County, TX, Rusk County, TX, Sabine County, TX, San Augustine County, TX, San Jacinto County, TX, San Patricio County, TX, San Saba County, TX, Schleicher County, TX, Scurry County, TX, Shackelford County, TX, Shelby County, TX, Sherman County, TX, Smith County, TX, Somervell County, TX, Starr County, TX, Stephens County, TX, Sterling County, TX, Stonewall County, TX, Sutton County, TX, Swisher County, TX, Tarrant County, TX, Taylor County, TX, Terrell County, TX, Terry County, TX, Throckmorton County, TX, Titus County, TX, Tom Green County, TX, Travis County, TX, Trinity County, TX, Tyler County, TX, Upshur County, TX, Upton County, TX, Uvalde County, TX, Val Verde County, TX, Van Zandt County, TX, Victoria County, TX, Walker County, TX, Waller County, TX, Ward County, TX, Washington County, TX, Webb County, TX, Wharton County, TX, Wheeler County, TX, Wichita County, TX, Wilbarger County, TX, Willacy County, TX, Williamson County, TX, Wilson County, TX, Winkler County, TX, Wise County, TX, Wood County, TX, Yoakum County, TX, Young County, TX, Zapata County, TX, Zavala County, TX",
48047,"Texas 2018 drought prompting cattle sales, due to hay shortage",02/05/2019,12/01/2018,02/01/2019,"A hay shortage in Central Texas, along with rising hay prices, has caused some ranchers to sell cattle.  More cattle have been taken to auction since the beginning of December, according to the West Auction Managing Partner Adele Uptmore.  This trend was occurring statewide, stated Tracy Tomascik, associate director of the Commodity and Regulatory Activities with the Texas Farm Bureau.  He noted that, “Hay is in short supply and as a result of that, they are starting to liquidate and sell less productive cattle.""The hay shortage stemmed from drought during Texas’ 2018 growing season, which reduced hay production.  KXXV-TV ABC 25 Waco (Texas), Feb. 1, 2019","Agriculture, Plants & Wildlife","Texas, Bandera County, TX, Bastrop County, TX, Bell County, TX, Bexar County, TX, Blanco County, TX, Bosque County, TX, Brazos County, TX, Burleson County, TX, Burnet County, TX, Caldwell County, TX, Comal County, TX, Comanche County, TX, Coryell County, TX, Falls County, TX, Fayette County, TX, Freestone County, TX, Gillespie County, TX, Gonzales County, TX, Grimes County, TX, Guadalupe County, TX, Hamilton County, TX, Hays County, TX, Hill County, TX, Kendall County, TX, Kerr County, TX, Kimble County, TX, Lampasas County, TX, Lee County, TX, Leon County, TX, Limestone County, TX, Llano County, TX, Madison County, TX, Mason County, TX, McLennan County, TX, Milam County, TX, Mills County, TX, Robertson County, TX, San Saba County, TX, Travis County, TX, Washington County, TX, Williamson County, TX, Wilson County, TX",
47858,Drought increased abandonment of Texas cotton,10/01/2018,09/14/2018, ,"The abandonment rate for the Texas Plains cotton crop will be around 40 to 50 percent, including dryland and irrigated cotton.  In 2011, a disastrous year of drought, the abandonment rate was 66 percent.  SouthWest Farm Press (Houston, Texas), Oct. 1, 2018In the U.S., 14 million acres were planted in cotton, but the estimate for harvested cotton acreage was 10.55 million acres.  The divergence between planted and harvested acres has not been so large in a few years and was attributed to abandonment in Texas, due to drought, according to Warren Preston, deputy chief economist for U.S. Department of Agriculture.Texas farm bureau (Waco, Texas), Sept. 14, 2018",Agriculture,"Texas, Archer County, TX, Armstrong County, TX, Bailey County, TX, Baylor County, TX, Borden County, TX, Briscoe County, TX, Carson County, TX, Castro County, TX, Childress County, TX, Clay County, TX, Cochran County, TX, Collingsworth County, TX, Cottle County, TX, Crosby County, TX, Dallam County, TX, Dawson County, TX, Deaf Smith County, TX, Dickens County, TX, Donley County, TX, Floyd County, TX, Foard County, TX, Gaines County, TX, Garza County, TX, Gray County, TX, Hale County, TX, Hall County, TX, Hansford County, TX, Hardeman County, TX, Hartley County, TX, Haskell County, TX, Hemphill County, TX, Hockley County, TX, Hutchinson County, TX, Jack County, TX, Kent County, TX, King County, TX, Knox County, TX, Lamb County, TX, Lipscomb County, TX, Lubbock County, TX, Lynn County, TX, Mitchell County, TX, Montague County, TX, Moore County, TX, Motley County, TX, Ochiltree County, TX, Oldham County, TX, Palo Pinto County, TX, Parker County, TX, Parmer County, TX, Potter County, TX, Randall County, TX, Roberts County, TX, Scurry County, TX, Sherman County, TX, Stephens County, TX, Stonewall County, TX, Swisher County, TX, Terry County, TX, Throckmorton County, TX, Wheeler County, TX, Wichita County, TX, Wilbarger County, TX, Wise County, TX, Yoakum County, TX, Young County, TX",
45670,Most Texas counties under burn ban,08/15/2018,08/11/2018, ,"Burn bans were in effect for 177 Texas counties as drought gripped much of the state.  Bryan-College Station Eagle (Texas), Aug. 11, 2018","Fire, Relief, Response & Restrictions",Texas,
45668,"Hay prices rising, herds being sold in Texas",08/15/2018,08/10/2018, ,"Hay production southeast of Austin was about half of normal, due to heat and drought.  Poor production and low hay stocks meant that hay prices were climbing to $55 for large round bales in Central Texas in early August, pushing prices up about 22 percent compared to August 2017.  Prices were anticipated to keep climbing with the growing season ending in a few weeks.  Texas A&M University’s AgriLife Extension Service has heard of hay bales selling for as much as $125 west of Austin.    Around the state, some ranchers were selling entire herds at auction as the hay shortage portended a tough winter.  Beef cows were averaging $55.75 per 100 pounds in early August, down about 25 percent from a year ago. Austin American-Statesman (Texas), Aug. 10, 2018","Agriculture, Plants & Wildlife","Texas, Bastrop County, TX, Fayette County, TX, Travis County, TX",
