field_1,id_str,from_user,text,user_locat,date,lat_o,lon_o
"1",818285070700027904.000000000000000,1BHK1,"@conejorpd doing right by the environment by saving water ???? 6million gallons &amp; $7000/year #drought @nrpa_news https://t.co/kcnpc34srp","westlake village, ca",2017-01-09,34.146646699999998,-118.807372900000004
"2",818461962430345216.000000000000000,agleader,updated california #rainfall totals between #storms. #cawater #drought #cawx https://t.co/iadovoueug,central california,2017-01-09,38.392780000000002,-121.571939999999998
"3",818336976214499328.000000000000000,benavey,"if only there was a way to capture water, when we have too much, and save it until we have too little... #drought  https://t.co/7retabm6gn","fair oaks, ca",2017-01-09,38.644626400000000,-121.272171799999995
"4",818450194412933120.000000000000000,CaliDarlin,"it ain't raining men but it sure as hell is raining.

hallelujah ????????

#california #lovinit #drought",city of angels,2017-01-09,34.052234200000001,-118.243684900000005
"5",818582351751983104.000000000000000,CallMichele,"we have water in northern california .... ????
more rain and snow coming tony

#drought
#northerncalifornia... https://t.co/anjmxdyknq","roseville, ca",2017-01-09,38.752123500000003,-121.288005900000002
"6",818330717365026816.000000000000000,CalOES_Dir,"climate impacts &amp; emergency management challenges... ca simultaneously dealing with #cadrought #castorm #brushfire� https://t.co/nxtx97puhs","sacramento/mather, ca",2017-01-09,38.543459400000003,-121.278372800000000
"7",818370789573435392.000000000000000,Chappellet_wine,"chappellet vineyards, trees, plants, animals,earth and family are all enjoying the rain and the river! #water� https://t.co/usrul2giut","st. helena, ca  (napa valley)",2017-01-09,38.505242899999999,-122.470386800000000
"8",818268808464826368.000000000000000,ChrisFabiGuti,it's too soon to call an end to #cadrought https://t.co/9kun25ilp0,"san francisco, ca",2017-01-09,37.774929499999999,-122.419415499999999
"9",818342560888274944.000000000000000,CorralCarina,"flooding so bad, man surfs down grand ave in grover beach! #castorm #caflood #cawx #cadrought #donttrythisathome https://t.co/p0yytag620","san luis obispo, ca",2017-01-09,35.282752400000000,-120.659615599999995
"10",818246630877097984.000000000000000,davidejansen,�one of the driest countries on earth now makes more freshwater than it needs� https://t.co/j1as6rjjok #desalination #water #drought,"fresno/clovis, ca",2017-01-09,36.825227699999999,-119.702919399999999
