field_1,id_str,from_user,text,user_locat,date,lat_o,lon_o
"10509",818314190314229760.000000000000000,ngjarhead,perpetual #drought... https://t.co/dsvv2kdb6f,the wilds of colorado,2017-01-09,30.278377299999999,-97.773829599999999
"10510",819590137541787648.000000000000000,LegacyDynasty,: walkoffhbp what about the #drought paul?,"lancaster, tx",2017-01-12,32.592079800000000,-96.756108200000000
"10511",819638174418870272.000000000000000,KBTXShel,"#drought monitor from july to today via @climatecentral. remember after last spring's flooding, brazos valley slipp� https://t.co/l9hapjolab","bryan/college station, tx",2017-01-12,30.668190100000000,-96.374811500000007
"10512",819638547401605120.000000000000000,KBTXShel,"#drought tends to hide itself in winter.

as of today's monitor, parts of the northern brazos valley back to ""abno� https://t.co/5jqcxeb95l","bryan/college station, tx",2017-01-12,30.668190100000000,-96.374811500000007
"10513",819595047209463808.000000000000000,TexasFarmBureau,it�s a mixed bag of #drought conditions across #texas (via @twdb). #txwater https://t.co/bdaalpuxnr,"waco, tx",2017-01-12,31.549333000000001,-97.146669500000002
"10514",819574917360451584.000000000000000,AmoudFoundation,outlook grim as food and agriculture organization warns of worsening #drought and hunger! https://t.co/kox4zsfy3i,"irving, tx",2017-01-12,32.814017700000001,-96.948894499999994
"10515",819900621579026432.000000000000000,KLUVrancken,"after 5 years, it�s finally over #drought  #davidsdateline #onthefifties https://t.co/wvcrfu7yjz","dallas, tx",2017-01-13,32.776664199999999,-96.796987900000005
"10516",820001171314069504.000000000000000,LifeOnThinIce,"some of us got inundated with snow &amp;/or rain, but no, #cadrought isn't over. call it the southern ca #drought now. https://t.co/7gcnfxr4on",earth,2017-01-13,34.233137300000003,-102.410749300000006
"10517",819923212159086592.000000000000000,foodWV,"farmers must adapt to #climatechange with #drought tolerant seeds, #irrigation to ensure #foodsecurity� https://t.co/4hyn7zk95x",global,2017-01-13,31.952479900000000,-102.173288200000002
"10518",819968524961644544.000000000000000,MySAWS,"mt @cnn: after powerful storms drenched no. #calif, 42% of state is no longer in #drought https://t.co/lpu3hsdqai https://t.co/w1p555bzka","san antonio, texas",2017-01-13,29.424121899999999,-98.493628200000003
"10519",819914504138084352.000000000000000,Rjones271,"retweeted greg diamond (@gdimeweather):

a huge improvement in the #cadrought. now the lowest percent in the... https://t.co/jc2zji92sq","san antonio, tx",2017-01-13,29.424121899999999,-98.493628200000003
"10520",820313587805630464.000000000000000,MasterMeterInc,"san francisco receives more rain in first eight days of january than all of 2013!
https://t.co/6ut800ljwg
#drought� https://t.co/qr0qpgvqbl","mansfield, texas",2017-01-14,32.563192399999998,-97.141676799999999
"10521",820363867574386688.000000000000000,johnnypappas,willie had a rainy day nap the other day. #cadrought #orangetabby #catsofinstagram #feline � https://t.co/carkwv86gj https://t.co/eeaqstomy5,san diego region,2017-01-14,27.763914499999998,-98.238895299999996
"10522",820519858228068352.000000000000000,heralddemocrat,"#drought intensifies in region, #weekend storms expected to bring relief https://t.co/21tzmaacyd https://t.co/rbz25n72xj","sherman, tx",2017-01-15,33.635661800000001,-96.608880499999998
"10523",820490184760393728.000000000000000,UnsolvedRHYME,"#johnlewis is the male version
of #maxinewatters! anyway,
they both create one helluva
#drought of intellect!� https://t.co/76omgdyf0b",republic of texas,2017-01-15,29.727061200000001,-94.961594000000005
